avg_payment,customer_id,first_name,last_name,max_payment,payment_count,store_id,suspicious_large_payment_count,total_amount
2.9899999999999998,283,FELICIA,SUTTON,6.99,17,1,0,50.83
3.10764705882353,157,DARLENE,ROSE,5.99,17,2,0,52.83000000000001
3.147894736842106,64,JUDITH,COX,6.99,19,2,0,59.81000000000002
3.1478947368421064,91,LOIS,BUTLER,4.99,19,2,0,59.810000000000024
3.3900000000000006,115,WENDY,HARRISON,6.99,15,1,0,50.85000000000001
3.4566666666666674,498,GENE,SANBORN,6.99,15,1,0,51.85000000000001
3.5233333333333343,198,ELSIE,KELLEY,5.99,15,2,0,52.850000000000016
3.5400000000000005,75,TAMMY,SANDERS,9.99,20,2,1,70.80000000000001
3.545555555555557,485,CLYDE,TOBIAS,6.99,18,1,0,63.82000000000002
3.5689473684210533,354,JUSTIN,NGO,8.99,19,2,1,67.81000000000002
3.5900000000000007,241,HEIDI,LARSON,6.99,15,2,0,53.85000000000001
3.656666666666667,228,ALLISON,STANLEY,8.99,15,2,2,54.85000000000001
3.656666666666668,38,MARTHA,GONZALEZ,5.99,18,1,0,65.82000000000002
3.6775000000000007,424,KYLE,SPURLOCK,8.99,16,2,1,58.84000000000001
3.69,236,MARCIA,DEAN,5.99,20,1,0,73.8
3.7042857142857146,538,TED,BREAUX,8.99,14,2,2,51.86000000000001
3.704285714285715,28,CYNTHIA,YOUNG,9.99,14,1,1,51.860000000000014
3.704285714285715,290,KRISTINA,CHAMBERS,7.99,14,1,0,51.860000000000014
3.7233333333333345,129,CARRIE,PORTER,7.99,15,1,0,55.850000000000016
3.7233333333333345,335,GREGORY,MAULDIN,8.99,15,1,1,55.850000000000016
3.723333333333335,145,LUCILLE,HOLMES,8.99,15,1,1,55.85000000000002
3.740000000000001,5,ELIZABETH,BROWN,8.99,16,1,1,59.84000000000002
3.767777777777779,314,GEORGE,LINTON,6.99,18,1,0,67.82000000000002
3.775714285714286,78,LORI,WOOD,6.99,14,1,0,52.86
3.775714285714287,588,MARION,OCAMPO,5.99,14,1,0,52.86000000000002
3.7900000000000014,99,EMILY,DIAZ,7.99,15,2,0,56.85000000000002
3.8025000000000015,442,LEROY,BUSTAMANTE,5.99,16,1,0,60.840000000000025
3.8025000000000015,563,KEN,PREWITT,7.99,16,2,0,60.840000000000025
3.8233333333333346,406,NATHAN,RUNYON,8.99,18,1,1,68.82000000000002
3.8471428571428588,306,CHARLES,KOWALSKI,6.99,14,1,0,53.86000000000002
3.8650000000000007,42,CAROLYN,PEREZ,6.99,16,2,0,61.84000000000001
3.872352941176471,347,RYAN,SALISBURY,6.99,17,2,0,65.83000000000001
3.8847368421052626,30,MELISSA,KING,9.99,19,1,1,73.80999999999999
3.9130769230769236,356,GERALD,FULTZ,6.99,13,2,0,50.870000000000005
3.913076923076924,351,JACK,FOUST,7.99,13,1,0,50.87000000000001
3.9130769230769245,397,JIMMY,SCHRADER,6.99,13,1,0,50.87000000000002
3.91857142857143,244,VIOLA,HANSON,5.99,14,2,0,54.86000000000002
3.91857142857143,410,CURTIS,IRBY,5.99,14,2,0,54.86000000000002
3.91857142857143,438,BARRY,LOVELACE,8.99,14,1,1,54.86000000000002
3.9233333333333333,207,GERTRUDE,CASTILLO,9.99,15,1,1,58.85
3.9233333333333342,230,JOY,GEORGE,9.99,15,2,1,58.850000000000016
3.9233333333333342,32,AMY,LOPEZ,9.99,15,1,1,58.850000000000016
3.9233333333333342,409,RODNEY,MOELLER,7.99,15,2,0,58.850000000000016
3.9233333333333347,323,MATTHEW,MAHAN,7.99,15,2,0,58.85000000000002
3.9275000000000015,211,STACEY,MONTGOMERY,8.99,16,1,1,62.840000000000025
3.931176470588236,441,MARIO,CHEATHAM,10.99,17,1,2,66.83000000000001
3.934444444444445,71,KATHY,JAMES,8.99,18,1,1,70.82000000000001
3.99,108,TRACY,COLE,6.99,13,1,0,51.870000000000005
3.99,333,ANDREW,PURDY,10.99,13,2,1,51.870000000000005
3.99,566,CASEY,MENA,9.99,18,1,1,71.82000000000001
3.9900000000000007,154,MICHELE,GRANT,7.99,14,2,0,55.86000000000001
3.9900000000000007,425,FRANCIS,SIKES,8.99,17,2,1,67.83000000000001
3.990000000000001,519,RON,DELUCA,7.99,13,2,0,51.87000000000001
4.037619047619048,102,CRYSTAL,FORD,6.99,21,1,0,84.78999999999999
4.0488235294117665,89,JULIA,FLORES,8.99,17,1,1,68.83000000000003
4.052500000000001,598,WADE,DELVALLE,6.99,16,1,0,64.84000000000002
4.061428571428572,390,SHAWN,HEATON,5.99,14,1,0,56.860000000000014
4.061428571428573,590,SETH,HANNON,5.99,14,2,0,56.86000000000002
4.066923076923078,339,WALTER,PERRYMAN,7.99,13,2,0,52.87000000000001
4.066923076923079,202,CARLA,GUTIERREZ,8.99,13,2,2,52.87000000000002
4.066923076923079,329,FRANK,WAGGONER,7.99,13,2,0,52.87000000000002
