average_payment_amount,customer_id,full_name,large_payment_count,payment_count,total_payment_amount
2.9899999999999998,283,FELICIA SUTTON,0,17,50.83
3.10764705882353,157,DARLENE ROSE,0,17,52.83000000000001
3.1478947368421064,91,LOIS BUTLER,0,19,59.810000000000024
3.3900000000000006,115,WENDY HARRISON,0,15,50.85000000000001
3.4566666666666674,498,GENE SANBORN,0,15,51.85000000000001
3.5233333333333343,198,ELSIE KELLEY,0,15,52.850000000000016
3.5400000000000005,75,TAMMY SANDERS,1,20,70.80000000000001
3.545555555555557,485,CLYDE TOBIAS,0,18,63.82000000000002
3.5689473684210533,354,JUSTIN NGO,1,19,67.81000000000002
3.656666666666667,228,ALLISON STANLEY,2,15,54.85000000000001
3.656666666666668,38,MARTHA GONZALEZ,0,18,65.82000000000002
3.6775000000000007,424,KYLE SPURLOCK,1,16,58.84000000000001
3.69,236,MARCIA DEAN,0,20,73.8
3.7042857142857146,538,TED BREAUX,2,14,51.86000000000001
3.704285714285715,28,CYNTHIA YOUNG,1,14,51.860000000000014
3.704285714285715,290,KRISTINA CHAMBERS,0,14,51.860000000000014
3.7233333333333345,129,CARRIE PORTER,0,15,55.850000000000016
3.7233333333333345,335,GREGORY MAULDIN,1,15,55.850000000000016
3.723333333333335,145,LUCILLE HOLMES,1,15,55.85000000000002
3.740000000000001,5,ELIZABETH BROWN,1,16,59.84000000000002
3.767777777777779,314,GEORGE LINTON,0,18,67.82000000000002
3.775714285714286,78,LORI WOOD,0,14,52.86
3.775714285714287,588,MARION OCAMPO,0,14,52.86000000000002
3.7900000000000014,99,EMILY DIAZ,0,15,56.85000000000002
3.8025000000000015,442,LEROY BUSTAMANTE,0,16,60.840000000000025
3.8025000000000015,563,KEN PREWITT,0,16,60.840000000000025
3.8471428571428588,306,CHARLES KOWALSKI,0,14,53.86000000000002
3.8650000000000007,42,CAROLYN PEREZ,0,16,61.84000000000001
3.872352941176471,347,RYAN SALISBURY,0,17,65.83000000000001
3.8847368421052626,30,MELISSA KING,1,19,73.80999999999999
3.9130769230769236,356,GERALD FULTZ,0,13,50.870000000000005
3.913076923076924,351,JACK FOUST,0,13,50.87000000000001
3.9130769230769245,397,JIMMY SCHRADER,0,13,50.87000000000002
3.91857142857143,244,VIOLA HANSON,0,14,54.86000000000002
3.91857142857143,410,CURTIS IRBY,0,14,54.86000000000002
3.91857142857143,438,BARRY LOVELACE,1,14,54.86000000000002
3.9233333333333333,207,GERTRUDE CASTILLO,1,15,58.85
3.9233333333333342,230,JOY GEORGE,1,15,58.850000000000016
3.9233333333333342,32,AMY LOPEZ,1,15,58.850000000000016
3.9233333333333342,409,RODNEY MOELLER,0,15,58.850000000000016
3.9233333333333347,323,MATTHEW MAHAN,0,15,58.85000000000002
3.9275000000000015,211,STACEY MONTGOMERY,1,16,62.840000000000025
3.931176470588236,441,MARIO CHEATHAM,2,17,66.83000000000001
3.934444444444445,71,KATHY JAMES,1,18,70.82000000000001
3.99,108,TRACY COLE,0,13,51.870000000000005
3.99,333,ANDREW PURDY,1,13,51.870000000000005
3.99,566,CASEY MENA,1,18,71.82000000000001
3.9900000000000007,154,MICHELE GRANT,0,14,55.86000000000001
3.9900000000000007,425,FRANCIS SIKES,1,17,67.83000000000001
3.990000000000001,519,RON DELUCA,0,13,51.87000000000001
4.037619047619048,102,CRYSTAL FORD,0,21,84.78999999999999
4.0488235294117665,89,JULIA FLORES,1,17,68.83000000000003
4.052500000000001,598,WADE DELVALLE,0,16,64.84000000000002
4.061428571428572,390,SHAWN HEATON,0,14,56.860000000000014
4.061428571428573,590,SETH HANNON,0,14,56.86000000000002
4.066923076923078,339,WALTER PERRYMAN,0,13,52.87000000000001
4.066923076923079,202,CARLA GUTIERREZ,2,13,52.87000000000002
4.066923076923079,329,FRANK WAGGONER,0,13,52.87000000000002
4.101111111111112,210,ELLA OLIVER,1,18,73.82000000000001
4.10764705882353,360,RALPH MADRIGAL,1,17,69.83000000000001
4.115000000000001,125,ETHEL WEBB,1,16,65.84000000000002
