average_payment,customer_id,first_name,last_name,other_store_staff_amount,payment_count,total_amount
2.9899999999999998,283,FELICIA,SUTTON,28.900000000000006,17,50.83
3.10764705882353,157,DARLENE,ROSE,24.92,17,52.83000000000001
3.147894736842106,64,JUDITH,COX,30.910000000000004,19,59.81000000000002
3.1478947368421064,91,LOIS,BUTLER,28.930000000000003,19,59.810000000000024
3.3900000000000006,115,WENDY,HARRISON,15.940000000000001,15,50.85000000000001
3.4566666666666674,498,GENE,SANBORN,18.93,15,51.85000000000001
3.5233333333333343,198,ELSIE,KELLEY,28.930000000000007,15,52.850000000000016
3.5400000000000005,75,TAMMY,SANDERS,37.910000000000004,20,70.80000000000001
3.545555555555557,485,CLYDE,TOBIAS,30.92000000000001,18,63.82000000000002
3.5689473684210533,354,JUSTIN,NGO,35.910000000000004,19,67.81000000000002
3.5900000000000007,241,HEIDI,LARSON,35.900000000000006,15,53.85000000000001
3.656666666666667,228,ALLISON,STANLEY,31.910000000000004,15,54.85000000000001
3.656666666666668,38,MARTHA,GONZALEZ,34.910000000000004,18,65.82000000000002
3.6775000000000007,424,KYLE,SPURLOCK,36.92,16,58.84000000000001
3.69,236,MARCIA,DEAN,38.900000000000006,20,73.8
3.7042857142857146,538,TED,BREAUX,19.92,14,51.86000000000001
3.704285714285715,28,CYNTHIA,YOUNG,26.910000000000004,14,51.860000000000014
3.704285714285715,290,KRISTINA,CHAMBERS,26.930000000000007,14,51.860000000000014
3.7233333333333345,129,CARRIE,PORTER,24.940000000000005,15,55.850000000000016
3.7233333333333345,335,GREGORY,MAULDIN,15.950000000000001,15,55.850000000000016
3.723333333333335,145,LUCILLE,HOLMES,27.919999999999995,15,55.85000000000002
3.740000000000001,5,ELIZABETH,BROWN,27.909999999999997,16,59.84000000000002
3.767777777777779,314,GEORGE,LINTON,42.900000000000006,18,67.82000000000002
3.775714285714286,78,LORI,WOOD,26.92,14,52.86
3.775714285714287,588,MARION,OCAMPO,25.930000000000007,14,52.86000000000002
3.7900000000000014,99,EMILY,DIAZ,16.94,15,56.85000000000002
3.8025000000000015,442,LEROY,BUSTAMANTE,28.930000000000007,16,60.840000000000025
3.8025000000000015,563,KEN,PREWITT,15.940000000000001,16,60.840000000000025
3.8233333333333346,406,NATHAN,RUNYON,42.88000000000002,18,68.82000000000002
3.8471428571428588,306,CHARLES,KOWALSKI,27.92,14,53.86000000000002
3.8650000000000007,42,CAROLYN,PEREZ,25.92,16,61.84000000000001
3.872352941176471,347,RYAN,SALISBURY,33.92000000000001,17,65.83000000000001
3.8847368421052626,30,MELISSA,KING,39.90000000000001,19,73.80999999999999
3.9130769230769236,356,GERALD,FULTZ,22.92,13,50.870000000000005
3.913076923076924,351,JACK,FOUST,26.94,13,50.87000000000001
3.9130769230769245,397,JIMMY,SCHRADER,30.920000000000005,13,50.87000000000002
3.91857142857143,244,VIOLA,HANSON,24.950000000000003,14,54.86000000000002
3.91857142857143,410,CURTIS,IRBY,26.92,14,54.86000000000002
3.91857142857143,438,BARRY,LOVELACE,37.910000000000004,14,54.86000000000002
3.9233333333333333,207,GERTRUDE,CASTILLO,35.92,15,58.85
3.9233333333333342,230,JOY,GEORGE,26.93,15,58.850000000000016
3.9233333333333342,32,AMY,LOPEZ,18.94,15,58.850000000000016
3.9233333333333342,409,RODNEY,MOELLER,31.920000000000005,15,58.850000000000016
3.9233333333333347,323,MATTHEW,MAHAN,14.950000000000001,15,58.85000000000002
3.9275000000000015,211,STACEY,MONTGOMERY,38.910000000000004,16,62.840000000000025
3.931176470588236,441,MARIO,CHEATHAM,34.900000000000006,17,66.83000000000001
3.934444444444445,71,KATHY,JAMES,25.92,18,70.82000000000001
3.99,108,TRACY,COLE,30.940000000000005,13,51.870000000000005
3.99,333,ANDREW,PURDY,9.97,13,51.870000000000005
3.99,566,CASEY,MENA,33.910000000000004,18,71.82000000000001
3.9900000000000007,154,MICHELE,GRANT,20.94,14,55.86000000000001
3.9900000000000007,425,FRANCIS,SIKES,39.90000000000001,17,67.83000000000001
3.990000000000001,519,RON,DELUCA,17.96,13,51.87000000000001
4.037619047619048,102,CRYSTAL,FORD,41.88000000000001,21,84.78999999999999
4.0488235294117665,89,JULIA,FLORES,46.890000000000015,17,68.83000000000003
4.052500000000001,598,WADE,DELVALLE,31.919999999999995,16,64.84000000000002
4.061428571428572,390,SHAWN,HEATON,13.96,14,56.860000000000014
4.061428571428573,590,SETH,HANNON,32.92000000000001,14,56.86000000000002
4.066923076923078,339,WALTER,PERRYMAN,23.93,13,52.87000000000001
4.066923076923079,202,CARLA,GUTIERREZ,23.940000000000005,13,52.87000000000002
4.066923076923079,329,FRANK,WAGGONER,26.939999999999998,13,52.87000000000002
4.101111111111112,210,ELLA,OLIVER,33.92,18,73.82000000000001
4.10764705882353,360,RALPH,MADRIGAL,38.900000000000006,17,69.83000000000001
4.115000000000001,125,ETHEL,WEBB,23.93,16,65.84000000000002
4.115000000000001,128,MARJORIE,TUCKER,43.90000000000001,16,65.84000000000002
4.123333333333334,114,GRACE,ELLIS,36.910000000000004,15,61.850000000000016
4.123333333333334,122,THELMA,MURRAY,31.93,15,61.85000000000001
4.123333333333334,592,TERRANCE,ROUSH,16.950000000000003,15,61.85000000000001
4.123333333333335,362,NICHOLAS,BARFIELD,29.940000000000005,15,61.85000000000002
4.1328571428571435,135,JUANITA,MASON,31.9,14,57.860000000000014
4.1328571428571435,232,CONSTANCE,REID,17.950000000000003,14,57.860000000000014
4.1328571428571435,581,VIRGIL,WOFFORD,17.950000000000003,14,57.860000000000014
4.132857142857144,173,AUDREY,RAY,36.91000000000001,14,57.86000000000002
4.143846153846154,529,ERIK,GUILLEN,23.950000000000003,13,53.87000000000001
4.143846153846155,79,RACHEL,BARNES,25.950000000000003,13,53.87000000000002
4.166470588235294,168,REGINA,BERRY,41.900000000000006,17,70.83
4.190000000000001,235,JACKIE,LYNCH,31.919999999999998,15,62.85000000000002
4.204285714285715,380,RUSSELL,BRINSON,21.939999999999998,14,58.86000000000001
4.2042857142857155,468,TIM,CARY,34.93000000000001,14,58.860000000000014
4.220769230769232,386,TODD,TAN,20.95,13,54.87000000000002
4.225294117647059,446,THEODORE,CULP,33.92000000000001,17,71.83
4.240000000000001,1,MARY,SMITH,20.940000000000005,12,50.88000000000002
4.240000000000001,14,BETTY,WHITE,32.910000000000004,12,50.88000000000002
4.240000000000001,185,ROBERTA,HARPER,15.950000000000001,12,50.88000000000001
4.240000000000001,317,EDWARD,BAUGH,33.92000000000001,12,50.88000000000002
4.240000000000001,324,GARY,COY,26.930000000000007,12,50.88000000000001
4.240000000000001,517,BRAD,MCCURDY,25.950000000000003,12,50.88000000000001
4.256666666666668,576,MORRIS,MCCARTER,35.92000000000001,15,63.850000000000016
4.275714285714287,404,STANLEY,SCROGGINS,46.89000000000001,14,59.860000000000014
4.275714285714287,560,JORDAN,ARCHULETA,34.940000000000005,14,59.860000000000014
4.275714285714288,300,JOHN,FARNSWORTH,11.96,14,59.86000000000002
4.297692307692309,254,MAXINE,SILVA,28.940000000000005,13,55.87000000000001
4.2976923076923095,233,LILLIE,KIM,34.92000000000001,13,55.87000000000002
4.2976923076923095,518,GABRIEL,HARDER,38.93000000000001,13,55.87000000000002
4.302500000000001,35,VIRGINIA,GREEN,55.890000000000015,16,68.84000000000002
4.302500000000001,373,LOUIS,LEONE,22.94,16,68.84000000000002
4.302500000000001,553,MAX,PITT,36.9,16,68.84000000000002
4.323333333333333,213,GINA,WILLIAMSON,36.910000000000004,12,51.88
4.323333333333333,264,GWENDOLYN,MAY,4.970000000000001,12,51.88
4.323333333333334,240,MARLENE,WELCH,25.940000000000005,12,51.88000000000001
4.323333333333334,282,JENNY,CASTRO,23.940000000000005,15,64.85000000000001
4.323333333333334,536,FERNANDO,CHURCHILL,41.91000000000001,12,51.88000000000001
4.323333333333334,90,RUBY,WASHINGTON,16.96,12,51.88000000000001
4.323333333333335,139,AMBER,DIXON,29.92,12,51.88000000000002
4.323333333333335,219,WILLIE,HOWELL,21.950000000000003,15,64.85000000000002
4.323333333333335,237,TANYA,GILBERT,36.91000000000001,15,64.85000000000002
4.323333333333335,368,HARRY,ARCE,22.950000000000003,12,51.88000000000002
