customer_id,first_name,last_name,payment_count,total_amount,average_payment,max_payment,large_payment_count
148,ELEANOR,HUNT,22,100.77999999999997,4.580909090909089,10.99,3
470,GORDON,ALLARD,17,96.82999999999998,5.695882352941176,10.99,2
522,ARNOLD,HAVENS,18,96.82,5.378888888888889,9.99,1
137,RHONDA,KENNEDY,19,96.80999999999999,5.0952631578947365,8.99,1
144,CLARA,SHAW,18,93.81999999999998,5.212222222222221,9.99,2
459,TOMMY,COLLAZO,18,89.81999999999998,4.989999999999998,10.99,2
257,MARSHA,DOUGLAS,18,88.82,4.934444444444444,6.99,0
295,DAISY,BATES,18,87.82000000000001,4.8788888888888895,9.99,3
526,KARL,SEAL,19,86.81,4.568947368421052,7.99,0
595,TERRENCE,GUNDERSON,19,86.80999999999999,4.568947368421052,10.99,2
178,MARION,SNYDER,18,85.82,4.767777777777777,10.99,1
102,CRYSTAL,FORD,21,84.78999999999999,4.037619047619048,6.99,0
346,ARTHUR,SIMPKINS,15,83.85,5.59,8.99,3
209,TONYA,CHAPMAN,17,82.83,4.87235294117647,8.99,1
366,BRANDON,HUEY,19,82.80999999999999,4.358421052631578,6.99,0
50,DIANE,COLLINS,17,80.83,4.754705882352941,10.99,3
225,ARLENE,HARVEY,17,80.83,4.754705882352941,7.99,0
494,RAMON,CHOATE,18,80.82000000000001,4.49,8.99,1
469,WESLEY,BULL,18,80.82,4.489999999999999,10.99,1
479,ZACHARY,HITE,15,79.85,5.323333333333333,8.99,3
92,TINA,SIMMONS,15,78.85000000000001,5.256666666666667,8.99,1
332,STEPHEN,QUALLS,17,78.82999999999998,4.637058823529411,8.99,2
484,ROBERTO,VU,15,77.85000000000001,5.19,9.99,2
372,STEVE,MACKENZIE,16,77.84000000000002,4.865000000000001,8.99,1
309,CHRISTOPHER,GRECO,16,76.83999999999999,4.802499999999999,8.99,1
286,VELMA,LUCAS,17,76.83000000000001,4.519411764705883,9.99,1
2,PATRICIA,JOHNSON,14,75.86,5.418571428571428,10.99,1
591,KENT,ARSENAULT,15,75.85000000000001,5.0566666666666675,11.99,2
508,MILTON,HOWLAND,14,74.86,5.347142857142857,9.99,2
292,MISTY,LAMBERT,16,74.84,4.6775,8.99,2
462,WARREN,SHERROD,16,74.83999999999999,4.677499999999999,8.99,2
502,BRETT,CORNWELL,15,73.85000000000001,4.923333333333334,8.99,2
39,DEBRA,NELSON,15,73.85000000000001,4.923333333333334,8.99,1
210,ELLA,OLIVER,18,73.82000000000001,4.101111111111112,8.99,1
30,MELISSA,KING,19,73.80999999999999,3.8847368421052626,9.99,1
236,MARCIA,DEAN,20,73.8,3.69,5.99,0
181,ANA,BRADLEY,12,72.88,6.073333333333333,9.99,3
245,COURTNEY,DAY,16,72.84,4.5525,10.99,1
475,PEDRO,CHESTNUT,15,71.85,4.79,9.99,1
566,CASEY,MENA,18,71.82000000000001,3.99,9.99,1
585,PERRY,SWAFFORD,13,70.87000000000002,5.451538461538463,9.99,2
172,BERNICE,WILLIS,14,70.86,5.061428571428571,7.99,0
41,STEPHANIE,MITCHELL,15,70.85000000000002,4.7233333333333345,9.99,1
573,BYRON,BOX,15,70.85000000000001,4.723333333333334,10.99,2
348,ROGER,QUINTANILLA,16,70.84,4.4275,9.99,2
265,JENNIE,TERRY,16,70.84,4.4275,9.99,1
168,REGINA,BERRY,17,70.83,4.166470588235294,6.99,0
71,KATHY,JAMES,18,70.82000000000001,3.934444444444445,8.99,1
