customer_id,customer,country,month,payment_count,monthly_sum,avg_payment,staff_count,country_month_rank
159,JILL HAWKINS,Austria,2005-05,4,9.96,2.49,2,1
569,DAVE GARDINER,China,2005-05,5,20.95,4.19,2,2
197,SUE PETERS,China,2005-05,8,20.92,2.62,2,3
249,DORA MEDINA,China,2005-05,4,18.96,4.74,2,5
596,ENRIQUE FORSYTHE,Greece,2005-05,6,22.94,3.82,2,1
274,NAOMI JENNINGS,India,2005-05,6,24.94,4.16,2,1
239,MINNIE ROMERO,Indonesia,2005-05,6,33.94,5.66,2,1
506,LESLIE SEWARD,Indonesia,2005-05,7,28.93,4.13,2,2
161,GERALDINE PERKINS,Israel,2005-05,6,17.94,2.99,2,1
53,HEATHER MORRIS,Japan,2005-05,6,26.94,4.49,2,2
288,BOBBIE CRAIG,Mexico,2005-05,4,21.96,5.49,2,1
371,BILLY POULIN,Philippines,2005-05,6,25.94,4.32,2,1
109,EDNA WEST,South Africa,2005-05,7,27.93,3.99,2,1
124,SHEILA WELLS,Turkey,2005-05,4,15.96,3.99,2,2
269,CASSANDRA WALTERS,United States,2005-05,6,18.94,3.16,2,3
176,JUNE CARROLL,Algeria,2005-06,8,42.92,5.37,2,1
383,MARTIN BALES,Angola,2005-06,6,27.94,4.66,2,1
144,CLARA SHAW,Belarus,2005-06,6,22.94,3.82,2,1
431,JOEL FRANCISCO,Bolivia,2005-06,7,35.93,5.13,2,1
178,MARION SNYDER,Brazil,2005-06,8,44.92,5.62,2,1
352,ALBERT CROUSE,Cameroon,2005-06,5,20.95,4.19,2,1
410,CURTIS IRBY,Canada,2005-06,6,22.94,3.82,2,1
550,GUY BROWNLEE,China,2005-06,6,39.94,6.66,2,1
267,MARGIE WADE,China,2005-06,9,38.91,4.32,2,2
384,ERNEST STEPP,China,2005-06,7,34.93,4.99,2,3
260,CHRISTY VARGAS,China,2005-06,8,34.92,4.37,2,4
197,SUE PETERS,China,2005-06,8,31.92,3.99,2,5
242,GLENDA FRAZIER,China,2005-06,6,29.94,4.99,2,6
589,TRACY HERRMANN,Ecuador,2005-06,5,30.95,6.19,2,1
35,VIRGINIA GREEN,France,2005-06,6,17.94,2.99,2,1
196,ALMA AUSTIN,Germany,2005-06,8,31.92,3.99,2,1
31,BRENDA WRIGHT,India,2005-06,11,35.89,3.26,2,3
12,NANCY THOMAS,India,2005-06,6,26.94,4.49,2,5
268,NINA SOTO,India,2005-06,8,26.92,3.37,2,6
506,LESLIE SEWARD,Indonesia,2005-06,5,27.95,5.59,2,1
368,HARRY ARCE,Iran,2005-06,6,30.94,5.16,2,1
478,LEWIS LYMAN,Israel,2005-06,6,31.94,5.32,2,1
309,CHRISTOPHER GRECO,Italy,2005-06,4,25.96,6.49,2,1
1,MARY SMITH,Japan,2005-06,7,31.93,4.56,2,1
299,JAMES GANNON,Japan,2005-06,7,31.93,4.56,2,1
193,KATIE ELLIOTT,Kenya,2005-06,6,35.94,5.99,2,1
171,DOLORES WAGNER,Malaysia,2005-06,7,32.93,4.7,2,1
454,ALEX GRESHAM,Mexico,2005-06,10,52.9,5.29,2,1
570,IVAN CROMWELL,Mexico,2005-06,7,32.93,4.7,2,2
256,MABEL HOLLAND,Myanmar,2005-06,7,30.93,4.42,2,1
277,OLGA JIMENEZ,Nigeria,2005-06,7,28.93,4.13,2,1
122,THELMA MURRAY,Peru,2005-06,7,25.93,3.7,2,1
230,JOY GEORGE,Romania,2005-06,6,20.94,3.49,2,1
510,BEN EASTER,Russian Federation,2005-06,8,33.92,4.24,2,1
338,DENNIS GILMAN,South Africa,2005-06,7,34.93,4.99,2,1
