average_payment,customer_id,customer_name,max_payment,payment_count,total_amount
2.0900000000000003,252,MATTIE HOFFMAN,5.99,10,20.900000000000002
2.1566666666666667,256,MABEL HOLLAND,3.99,6,12.940000000000001
2.275714285714286,77,JANE BENNETT,4.99,7,15.930000000000001
2.3649999999999998,384,ERNEST STEPP,4.99,8,18.919999999999998
2.444545454545455,461,DEREK BLAKELY,4.99,11,26.89
2.4515384615384614,147,JOANNE ROBERTSON,7.99,13,31.87
2.5455555555555556,288,BOBBIE CRAIG,3.99,9,22.91
2.5900000000000003,327,LARRY THRASHER,4.99,5,12.950000000000001
2.615,378,EUGENE CULPEPPER,4.99,8,20.92
2.69,557,FELIX GAFFNEY,6.99,10,26.9
2.7042857142857146,381,BOBBY BOUDREAU,4.99,14,37.86000000000001
2.717272727272727,405,LEONARD SCHOFIELD,7.99,11,29.889999999999997
2.74,411,NORMAN CURRIER,5.99,12,32.88
2.847142857142857,250,JO FOWLER,4.99,7,19.93
2.847142857142857,358,SAMUEL MARLOW,5.99,7,19.93
2.878888888888889,76,IRENE PRICE,6.99,9,25.91
2.9899999999999993,445,MICHEAL FORMAN,8.99,10,29.899999999999995
2.9899999999999998,24,KIMBERLY LEE,7.99,9,26.909999999999997
2.9899999999999998,283,FELICIA SUTTON,6.99,17,50.83
2.9899999999999998,361,LAWRENCE LAWTON,4.99,10,29.9
2.9899999999999998,392,SEAN DOUGLASS,9.99,8,23.919999999999998
2.9899999999999998,527,CORY MEEHAN,8.99,9,26.909999999999997
2.9899999999999998,568,ALBERTO HENNING,6.99,8,23.919999999999998
2.99,383,MARTIN BALES,5.99,9,26.91
2.99,6,JENNIFER DAVIS,7.99,9,26.91
2.9900000000000007,151,MEGAN PALMER,4.99,10,29.900000000000006
2.9900000000000007,8,SUSAN WILSON,5.99,12,35.88000000000001
3.0669230769230773,12,NANCY THOMAS,5.99,13,39.870000000000005
3.0669230769230773,419,CHAD CARBONE,5.99,13,39.870000000000005
3.073333333333333,260,CHRISTY VARGAS,7.99,12,36.879999999999995
3.0900000000000007,463,DARRELL POWER,7.99,10,30.900000000000006
3.101111111111111,224,PEARL GARZA,4.99,9,27.91
3.10764705882353,157,DARLENE ROSE,5.99,17,52.83000000000001
3.115,350,JUAN FRALEY,5.99,8,24.92
3.132857142857143,422,MELVIN ELLINGTON,4.99,7,21.93
3.1438461538461544,36,KATHLEEN ADAMS,6.99,13,40.870000000000005
3.1478947368421064,91,LOIS BUTLER,4.99,19,59.810000000000024
3.1566666666666667,134,EMMA BOYD,4.99,6,18.94
3.1566666666666667,248,CAROLINE BOWMAN,5.99,6,18.94
3.171818181818182,183,IDA ANDREWS,5.99,11,34.89
3.171818181818182,565,JAIME NETTLES,5.99,11,34.89
3.1718181818181823,280,TRACEY BARRETT,7.99,11,34.89000000000001
3.19,474,DUSTIN GILLETTE,7.99,10,31.9
3.190000000000001,138,HAZEL WARREN,9.99,15,47.850000000000016
3.2042857142857146,132,ESTHER CRAWFORD,6.99,14,44.86000000000001
3.204285714285715,570,IVAN CROMWELL,7.99,14,44.860000000000014
3.2122222222222216,160,ERIN DUNN,6.99,9,28.909999999999997
3.2122222222222225,9,MARGARET MOORE,5.99,9,28.910000000000004
3.2566666666666677,167,SALLY PIERCE,4.99,15,48.850000000000016
3.2627272727272727,511,CHESTER BENNER,6.99,11,35.89
3.2627272727272736,388,CRAIG MORRELL,5.99,11,35.89000000000001
3.2757142857142854,177,SAMANTHA DUNCAN,9.99,7,22.929999999999996
3.275714285714286,110,TIFFANY JORDAN,4.99,7,22.93
3.275714285714286,556,ARMANDO GRUBER,5.99,7,22.93
3.29,298,ERIKA PENA,7.99,10,32.9
3.323333333333333,111,CARMEN OWENS,9.99,9,29.909999999999997
3.323333333333333,471,DEAN SAUER,8.99,9,29.909999999999997
3.3233333333333337,182,RENEE LANE,8.99,12,39.88
3.3233333333333337,25,DEBORAH WALKER,8.99,12,39.88
3.3233333333333337,507,EDGAR RHOADS,6.99,15,49.85000000000001
3.323333333333334,396,EARL SHANKS,6.99,12,39.88000000000001
3.3233333333333346,57,EVELYN MORGAN,5.99,15,49.850000000000016
3.3233333333333346,580,ROSS GREY,6.99,15,49.850000000000016
3.3471428571428574,487,HECTOR POINDEXTER,7.99,14,46.86000000000001
3.3536363636363635,231,GEORGIA JACOBS,9.99,11,36.89
3.3649999999999993,109,EDNA WEST,6.99,8,26.919999999999995
3.3649999999999998,186,HOLLY FOX,5.99,8,26.919999999999998
3.365,85,ANNE POWELL,7.99,8,26.92
3.374615384615385,263,HILDA HOPKINS,4.99,13,43.870000000000005
3.3899999999999997,201,VICKI FIELDS,6.99,5,16.95
3.3899999999999997,62,JOAN COOPER,4.99,5,16.95
3.3900000000000006,115,WENDY HARRISON,6.99,15,50.85000000000001
3.4066666666666676,537,CLINTON BUFORD,5.99,12,40.88000000000001
3.4066666666666676,97,ANNIE RUSSELL,5.99,12,40.88000000000001
3.4185714285714286,255,IRMA PEARSON,8.99,7,23.93
3.4185714285714286,466,LEO EBERT,6.99,7,23.93
3.434444444444444,530,DARRYL ASHCRAFT,4.99,9,30.909999999999997
3.434444444444445,340,PATRICK NEWSOM,4.99,9,30.910000000000004
3.4445454545454552,118,KIM CRUZ,7.99,11,37.89000000000001
3.4445454545454552,391,CLARENCE GAMEZ,7.99,11,37.89000000000001
3.4566666666666674,498,GENE SANBORN,6.99,15,51.85000000000001
3.4899999999999998,370,WAYNE TRUONG,7.99,8,27.919999999999998
3.4899999999999998,413,MARVIN YEE,7.99,6,20.939999999999998
3.49,281,LEONA OBRIEN,6.99,8,27.92
3.49,559,EVERETT BANDA,7.99,12,41.88
3.49,60,MILDRED BAILEY,5.99,8,27.92
3.4900000000000007,330,SCOTT SHELLEY,5.99,12,41.88000000000001
3.4900000000000007,444,MARCUS HIDALGO,6.99,8,27.920000000000005
3.4900000000000007,543,LANCE PEMBERTON,4.99,8,27.920000000000005
3.490000000000001,204,ROSEMARY SCHMIDT,6.99,14,48.860000000000014
3.5233333333333343,198,ELSIE KELLEY,5.99,15,52.850000000000016
3.528461538461539,452,TOM MILNER,6.99,13,45.870000000000005
3.5284615384615394,158,VERONICA STONE,8.99,13,45.87000000000001
3.5284615384615394,243,LYDIA BURKE,5.99,13,45.87000000000001
3.535454545454546,500,REGINALD KINDER,6.99,11,38.89000000000001
3.5400000000000005,75,TAMMY SANDERS,9.99,20,70.80000000000001
3.545555555555555,21,MICHELLE CLARK,6.99,9,31.909999999999997
3.5455555555555556,458,LLOYD DOWD,7.99,9,31.91
3.5455555555555556,521,ROLAND SOUTH,7.99,9,31.91
3.5455555555555556,83,LOUISE JENKINS,6.99,9,31.91
3.545555555555556,121,JOSEPHINE GOMEZ,8.99,9,31.910000000000004
3.545555555555557,485,CLYDE TOBIAS,6.99,18,63.82000000000002
3.561428571428571,569,DAVE GARDINER,5.99,7,24.929999999999996
3.5614285714285714,395,JOHNNY TURPIN,7.99,7,24.93
3.5614285714285714,456,RONNIE RICKETTS,7.99,7,24.93
3.5614285714285723,313,DONALD MAHON,5.99,7,24.930000000000007
3.5689473684210533,354,JUSTIN NGO,8.99,19,67.81000000000002
3.573333333333334,357,KEITH RICO,8.99,12,42.88000000000001
3.5900000000000007,192,LAURIE LAWRENCE,7.99,10,35.900000000000006
3.5900000000000007,431,JOEL FRANCISCO,4.99,5,17.950000000000003
3.5900000000000007,489,RICARDO MEADOR,4.99,5,17.950000000000003
3.605384615384616,208,LUCY WHEELER,6.99,13,46.87000000000001
3.605384615384617,26,JESSICA HALL,6.99,13,46.87000000000002
3.615,551,CLAYTON BARBEE,9.99,8,28.92
3.626363636363638,320,ANTHONY SCHWAB,4.99,11,39.890000000000015
3.626363636363638,420,JACOB LANCE,4.99,11,39.890000000000015
3.6566666666666667,93,PHYLLIS FOSTER,4.99,6,21.94
3.656666666666667,228,ALLISON STANLEY,8.99,15,54.85000000000001
3.656666666666667,275,CAROLE BARNETT,9.99,9,32.910000000000004
3.6566666666666676,499,MARC OUTLAW,6.99,12,43.88000000000001
3.6566666666666676,596,ENRIQUE FORSYTHE,4.99,6,21.940000000000005
3.656666666666668,38,MARTHA GONZALEZ,5.99,18,65.82000000000002
3.6775000000000007,424,KYLE SPURLOCK,8.99,16,58.84000000000001
3.6823076923076936,133,PAULINE HENRY,6.99,13,47.87000000000002
3.69,236,MARCIA DEAN,5.99,20,73.8
3.6900000000000004,401,TONY CARRANZA,8.99,10,36.900000000000006
3.6900000000000004,416,JEFFERY PINSON,7.99,10,36.900000000000006
3.6900000000000004,72,THERESA WATSON,5.99,10,36.900000000000006
3.7042857142857146,538,TED BREAUX,8.99,14,51.86000000000001
3.704285714285715,28,CYNTHIA YOUNG,9.99,14,51.860000000000014
3.704285714285715,290,KRISTINA CHAMBERS,7.99,14,51.860000000000014
3.717272727272727,163,CATHY SPENCER,10.99,11,40.88999999999999
3.717272727272728,287,BECKY MILES,6.99,11,40.89000000000001
