average_payment,customer_id,first_name,last_name,payment_count,risk_level,total_amount
2.9899999999999998,283,FELICIA,SUTTON,17,средний,50.83
3.10764705882353,157,DARLENE,ROSE,17,средний,52.83000000000001
3.147894736842106,64,JUDITH,COX,19,средний,59.81000000000002
3.1478947368421064,91,LOIS,BUTLER,19,средний,59.810000000000024
3.3900000000000006,115,WENDY,HARRISON,15,средний,50.85000000000001
3.4566666666666674,498,GENE,SANBORN,15,средний,51.85000000000001
3.5233333333333343,198,ELSIE,KELLEY,15,средний,52.850000000000016
3.5400000000000005,75,TAMMY,SANDERS,20,средний,70.80000000000001
3.545555555555557,485,CLYDE,TOBIAS,18,средний,63.82000000000002
3.5689473684210533,354,JUSTIN,NGO,19,средний,67.81000000000002
3.5900000000000007,241,HEIDI,LARSON,15,средний,53.85000000000001
3.656666666666667,228,ALLISON,STANLEY,15,средний,54.85000000000001
3.656666666666668,38,MARTHA,GONZALEZ,18,средний,65.82000000000002
3.6775000000000007,424,KYLE,SPURLOCK,16,средний,58.84000000000001
3.69,236,MARCIA,DEAN,20,средний,73.8
3.7042857142857146,538,TED,BREAUX,14,средний,51.86000000000001
3.704285714285715,28,CYNTHIA,YOUNG,14,средний,51.860000000000014
3.704285714285715,290,KRISTINA,CHAMBERS,14,средний,51.860000000000014
3.7233333333333345,129,CARRIE,PORTER,15,средний,55.850000000000016
3.7233333333333345,335,GREGORY,MAULDIN,15,средний,55.850000000000016
3.723333333333335,145,LUCILLE,HOLMES,15,средний,55.85000000000002
3.740000000000001,5,ELIZABETH,BROWN,16,средний,59.84000000000002
3.767777777777779,314,GEORGE,LINTON,18,средний,67.82000000000002
3.775714285714286,78,LORI,WOOD,14,средний,52.86
3.775714285714287,588,MARION,OCAMPO,14,средний,52.86000000000002
3.7900000000000014,99,EMILY,DIAZ,15,средний,56.85000000000002
3.8025000000000015,442,LEROY,BUSTAMANTE,16,средний,60.840000000000025
3.8025000000000015,563,KEN,PREWITT,16,средний,60.840000000000025
3.8233333333333346,406,NATHAN,RUNYON,18,средний,68.82000000000002
3.8471428571428588,306,CHARLES,KOWALSKI,14,средний,53.86000000000002
3.8650000000000007,42,CAROLYN,PEREZ,16,средний,61.84000000000001
3.872352941176471,347,RYAN,SALISBURY,17,средний,65.83000000000001
3.8847368421052626,30,MELISSA,KING,19,средний,73.80999999999999
3.9130769230769236,356,GERALD,FULTZ,13,средний,50.870000000000005
3.913076923076924,351,JACK,FOUST,13,средний,50.87000000000001
3.9130769230769245,397,JIMMY,SCHRADER,13,средний,50.87000000000002
3.91857142857143,244,VIOLA,HANSON,14,средний,54.86000000000002
3.91857142857143,410,CURTIS,IRBY,14,средний,54.86000000000002
3.91857142857143,438,BARRY,LOVELACE,14,средний,54.86000000000002
3.9233333333333333,207,GERTRUDE,CASTILLO,15,средний,58.85
3.9233333333333342,230,JOY,GEORGE,15,средний,58.850000000000016
3.9233333333333342,32,AMY,LOPEZ,15,средний,58.850000000000016
3.9233333333333342,409,RODNEY,MOELLER,15,средний,58.850000000000016
3.9233333333333347,323,MATTHEW,MAHAN,15,средний,58.85000000000002
3.9275000000000015,211,STACEY,MONTGOMERY,16,средний,62.840000000000025
3.931176470588236,441,MARIO,CHEATHAM,17,средний,66.83000000000001
3.934444444444445,71,KATHY,JAMES,18,средний,70.82000000000001
3.99,108,TRACY,COLE,13,средний,51.870000000000005
3.99,333,ANDREW,PURDY,13,средний,51.870000000000005
3.99,566,CASEY,MENA,18,средний,71.82000000000001
3.9900000000000007,154,MICHELE,GRANT,14,средний,55.86000000000001
3.9900000000000007,425,FRANCIS,SIKES,17,средний,67.83000000000001
3.990000000000001,519,RON,DELUCA,13,средний,51.87000000000001
4.037619047619048,102,CRYSTAL,FORD,21,средний,84.78999999999999
4.0488235294117665,89,JULIA,FLORES,17,средний,68.83000000000003
4.052500000000001,598,WADE,DELVALLE,16,средний,64.84000000000002
4.061428571428572,390,SHAWN,HEATON,14,средний,56.860000000000014
4.061428571428573,590,SETH,HANNON,14,средний,56.86000000000002
4.066923076923078,339,WALTER,PERRYMAN,13,средний,52.87000000000001
4.066923076923079,202,CARLA,GUTIERREZ,13,средний,52.87000000000002
4.066923076923079,329,FRANK,WAGGONER,13,средний,52.87000000000002
4.101111111111112,210,ELLA,OLIVER,18,средний,73.82000000000001
4.10764705882353,360,RALPH,MADRIGAL,17,средний,69.83000000000001
4.115000000000001,125,ETHEL,WEBB,16,средний,65.84000000000002
4.115000000000001,128,MARJORIE,TUCKER,16,средний,65.84000000000002
4.123333333333334,114,GRACE,ELLIS,15,средний,61.850000000000016
4.123333333333334,122,THELMA,MURRAY,15,средний,61.85000000000001
4.123333333333334,592,TERRANCE,ROUSH,15,средний,61.85000000000001
4.123333333333335,362,NICHOLAS,BARFIELD,15,средний,61.85000000000002
4.1328571428571435,135,JUANITA,MASON,14,средний,57.860000000000014
4.1328571428571435,232,CONSTANCE,REID,14,средний,57.860000000000014
4.1328571428571435,581,VIRGIL,WOFFORD,14,средний,57.860000000000014
4.132857142857144,173,AUDREY,RAY,14,средний,57.86000000000002
4.143846153846154,529,ERIK,GUILLEN,13,средний,53.87000000000001
4.143846153846155,79,RACHEL,BARNES,13,средний,53.87000000000002
