customer_id,customer_first_name,customer_last_name,country_name,city_name,payment_day,daily_payment_count,daily_payment_amount,avg_30d_payment_count,avg_30d_payment_amount,customer_store_id,last_payment_staff_store_id,last_staff_id,last_staff_first_name,last_staff_last_name,last_payment_id,last_payment_ts,linked_rental_count,overdue_return_share,country_day_amount_rank,suspicious_reason
119,SHERRY,MARSHALL,Egypt,Shubra al-Khayma,2005-05-26,1,5.99,1.0,0.99,1,1,1,Mike,Hillyer,3189,2005-05-26 11:51:09.000,1,1.0,1,amount_over_3x
282,JENNY,CASTRO,Puerto Rico,Ponce,2005-05-26,1,6.99,1.0,1.99,2,2,2,Jon,Stephens,7626,2005-05-26 18:56:26.000,1,1.0,1,amount_over_3x
48,ANN,EVANS,Russian Federation,Niznekamsk,2005-05-26,1,2.99,1.0,0.99,1,1,1,Mike,Hillyer,1313,2005-05-26 20:48:48.000,1,0.0,2,amount_over_3x
237,TANYA,GILBERT,South Korea,Naju,2005-05-26,1,4.99,1.0,0.99,1,1,1,Mike,Hillyer,6387,2005-05-26 04:49:17.000,1,0.0,1,amount_over_3x
82,KATHRYN,COLEMAN,Ukraine,Simferopol,2005-05-26,1,8.99,1.0,2.99,1,2,2,Jon,Stephens,2219,2005-05-26 19:47:49.000,1,1.0,1,amount_over_3x
472,GREG,ROBINS,Vietnam,Nam Dinh,2005-05-26,1,2.99,1.0,0.99,1,2,2,Jon,Stephens,12750,2005-05-26 14:19:09.000,1,0.0,1,amount_over_3x
176,JUNE,CARROLL,Algeria,Skikda,2005-05-27,1,6.99,1.0,0.99,1,2,2,Jon,Stephens,4764,2005-05-27 09:34:39.000,1,1.0,1,amount_over_3x
381,BOBBY,BOUDREAU,Anguilla,South Hill,2005-05-27,1,2.99,1.0,0.99,2,2,2,Jon,Stephens,10308,2005-05-27 13:46:46.000,1,0.0,1,amount_over_3x
272,KAY,CALDWELL,China,Yantai,2005-05-27,1,6.99,1.0,0.99,1,1,1,Mike,Hillyer,7348,2005-05-27 13:32:39.000,1,1.0,4,amount_over_3x
412,ALLEN,BUTTERFIELD,India,Hoshiarpur,2005-05-27,1,4.99,1.0,0.99,2,1,1,Mike,Hillyer,11150,2005-05-27 02:52:21.000,1,0.0,5,amount_over_3x
446,THEODORE,CULP,India,Uluberia,2005-05-27,1,4.99,1.0,0.99,2,1,1,Mike,Hillyer,12027,2005-05-27 06:15:33.000,1,0.0,5,amount_over_3x
547,KURT,EMMONS,Japan,Kanazawa,2005-05-27,1,8.99,1.0,0.99,1,2,2,Jon,Stephens,14687,2005-05-27 18:35:20.000,1,1.0,1,amount_over_3x
503,ANGEL,BARCLAY,Japan,Ueda,2005-05-27,1,5.99,1.0,1.99,1,1,1,Mike,Hillyer,13546,2005-05-27 06:03:39.000,1,1.0,3,amount_over_3x
