store_id,customer_id,customer_first_name,customer_last_name,customer_city,customer_country,payment_month,month_payment_amount,payment_count,previous_2_month_avg_amount,deviation_from_avg,ratio_to_avg,customer_suspicious_total_amount,store_rank,store_customer_count,top_staff_id,top_staff_first_name,top_staff_last_name,top_staff_email,top_staff_payment_amount,top_staff_payment_count
1,119,SHERRY,MARSHALL,Shubra al-Khayma,Egypt,2005-06,16.97,3,6.99,9.99,2.43,139.69,1,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,8.98,2
1,119,SHERRY,MARSHALL,Shubra al-Khayma,Egypt,2005-07,44.9,10,15.47,29.43,2.9,139.69,1,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,26.94,6
1,119,SHERRY,MARSHALL,Shubra al-Khayma,Egypt,2005-08,77.82,18,30.94,46.89,2.52,139.69,1,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,49.88,12
1,141,DEBBIE,REYES,Fukuyama,Japan,2005-06,20.97,3,1.5,19.48,14.03,127.69,2,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,15.98,2
1,141,DEBBIE,REYES,Fukuyama,Japan,2005-07,41.89,11,11.98,29.91,3.5,127.69,2,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,22.94,6
1,141,DEBBIE,REYES,Fukuyama,Japan,2005-08,64.83,17,31.43,33.4,2.06,127.69,2,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,41.88,12
1,45,JANET,PHILLIPS,Antofagasta,Chile,2005-06,17.95,5,1.5,16.46,12.01,124.74,3,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,8.98,2
1,45,JANET,PHILLIPS,Antofagasta,Chile,2005-07,37.91,9,10.47,27.44,3.62,124.74,3,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,33.93,7
1,45,JANET,PHILLIPS,Antofagasta,Chile,2005-08,68.88,12,27.93,40.95,2.47,124.74,3,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,41.93,7
1,148,ELEANOR,HUNT,Saint-Denis,Runion,2005-06,22.95,5,2.5,20.46,9.2,123.73,4,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,20.96,4
1,148,ELEANOR,HUNT,Saint-Denis,Runion,2005-07,100.78,22,13.97,86.81,7.21,123.73,4,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,60.85,15
1,78,LORI,WOOD,Rae Bareli,India,2005-07,52.86,14,8.99,43.88,5.88,123.72,5,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,26.92,8
1,78,LORI,WOOD,Rae Bareli,India,2005-08,70.86,14,35.42,35.45,2.0,123.72,5,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,43.92,8
1,15,HELEN,HARRIS,Bhopal,India,2005-07,40.91,9,4.99,35.93,8.21,120.73,6,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,25.94,6
1,15,HELEN,HARRIS,Bhopal,India,2005-08,79.82,18,25.44,54.38,3.14,120.73,6,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,45.9,10
1,295,DAISY,BATES,Kolpino,Russian Federation,2005-06,32.91,9,2.0,30.92,16.5,120.73,7,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,20.93,7
1,295,DAISY,BATES,Kolpino,Russian Federation,2005-07,87.82,18,18.45,69.37,4.76,120.73,7,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,45.92,8
1,306,CHARLES,KOWALSKI,Sungai Petani,Malaysia,2005-07,53.86,14,9.48,44.38,5.68,119.72,8,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,27.92,8
1,306,CHARLES,KOWALSKI,Sungai Petani,Malaysia,2005-08,65.86,14,30.92,34.94,2.13,119.72,8,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,32.94,6
1,144,CLARA,SHAW,Molodetno,Belarus,2005-06,22.94,6,2.99,19.95,7.67,116.76,9,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,17.95,5
1,144,CLARA,SHAW,Molodetno,Belarus,2005-07,93.82,18,14.46,79.36,6.49,116.76,9,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,68.88,12
1,436,TROY,QUIGLEY,Vancouver,Canada,2005-07,52.88,12,13.98,38.9,3.78,116.74,10,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,27.94,6
1,436,TROY,QUIGLEY,Vancouver,Canada,2005-08,63.86,14,31.44,32.43,2.03,116.74,10,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,49.9,10
1,459,TOMMY,COLLAZO,Qomsheh,Iran,2005-06,25.93,7,1.5,24.44,17.34,115.75,11,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,24.94,6
1,459,TOMMY,COLLAZO,Qomsheh,Iran,2005-07,89.82,18,14.46,75.36,6.21,115.75,11,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,58.88,12
1,274,NAOMI,JENNINGS,Karnal,India,2005-07,45.9,10,17.96,27.94,2.56,115.74,12,326,2,Jon,Stephens,Jon.Stephens@sakilastaff.com,32.93,7
1,274,NAOMI,JENNINGS,Karnal,India,2005-08,69.84,16,28.44,41.4,2.46,115.74,12,326,1,Mike,Hillyer,Mike.Hillyer@sakilastaff.com,38.91,9
