avg_payment_amount,customer_full_name,customer_id,payment_count,risk_flag,total_amount
2.79952380952381,FELIX GAFFNEY,557,21,0,58.79000000000001
2.8321052631578953,MATTIE HOFFMAN,252,19,0,53.81000000000001
2.9130769230769227,CAROLINE BOWMAN,248,13,0,37.87
2.940000000000001,BOBBIE CRAIG,288,20,0,58.80000000000002
2.9899999999999993,JUDITH COX,64,29,0,86.70999999999998
2.9899999999999998,NORMAN CURRIER,411,23,0,68.77
2.990000000000001,KIRK STCLAIR,586,17,0,50.83000000000002
3.037619047619048,JUAN FRALEY,350,21,0,63.79000000000001
3.0426315789473692,JOHNNY TURPIN,395,19,0,57.81000000000002
3.097142857142857,FELICIA SUTTON,283,28,0,86.72
3.1112121212121204,LOIS BUTLER,91,33,1,102.66999999999997
3.1149999999999993,BOBBY BOUDREAU,381,32,0,99.67999999999998
3.1204347826086956,SAMANTHA DUNCAN,177,23,0,71.77
3.175185185185185,LAWRENCE LAWTON,361,27,0,85.72999999999999
3.1899999999999995,CLARENCE GAMEZ,391,25,0,79.74999999999999
3.190000000000001,ALBERTO HENNING,568,20,0,63.80000000000002
3.22076923076923,WENDY HARRISON,115,26,0,83.73999999999998
3.267777777777779,ANNIE RUSSELL,97,18,0,58.82000000000002
3.27,MEGAN PALMER,151,25,0,81.75
3.2862962962962947,THERESA WATSON,72,27,0,88.72999999999996
3.3057894736842117,TONY CARRANZA,401,19,0,62.810000000000024
3.323333333333334,FRANKLIN TROUTMAN,514,21,0,69.79000000000002
3.3337499999999984,HAZEL WARREN,138,32,1,106.67999999999995
3.3499999999999988,BILLIE HORTON,278,25,0,83.74999999999997
3.3536363636363635,APRIL BURNS,142,22,0,73.78
3.36037037037037,DEREK BLAKELY,461,27,0,90.72999999999999
3.3813043478260867,LYDIA BURKE,243,23,0,77.77
3.382857142857142,TOM MILNER,452,28,0,94.71999999999998
3.39,JENNIFER DAVIS,6,25,0,84.75
3.418571428571428,ESTHER CRAWFORD,132,28,0,95.71999999999998
3.424782608695652,CORY MEEHAN,527,23,0,78.77
3.424782608695652,RICKY SHELBY,435,23,0,78.77
3.4400000000000013,FRED WHEAT,369,20,0,68.80000000000003
3.444545454545455,IDA ANDREWS,183,22,0,75.78
3.444545454545455,ROLAND SOUTH,521,22,0,75.78
3.448333333333333,GENE SANBORN,498,24,0,82.75999999999999
3.4587499999999984,HEIDI LARSON,241,32,1,110.67999999999995
3.460588235294118,JILL HAWKINS,159,17,0,58.830000000000005
3.4636842105263166,MARVIN YEE,413,19,0,65.81000000000002
3.4661904761904756,DARRYL ASHCRAFT,530,21,0,72.78999999999999
3.4661904761904765,ANNE POWELL,85,21,0,72.79
3.4661904761904765,ENRIQUE FORSYTHE,596,21,0,72.79
3.472758620689654,LEONARD SCHOFIELD,405,29,1,100.70999999999997
3.49,PEARL GARZA,224,22,0,76.78
3.5117391304347825,JESSIE BANKS,215,23,0,80.77
3.5117391304347825,KEITH RICO,357,23,0,80.77
3.511739130434783,LUCY WHEELER,208,23,0,80.77000000000001
3.513809523809525,COLLEEN BURTON,227,21,0,73.79000000000002
3.516315789473685,LLOYD DOWD,458,19,0,66.81000000000002
3.519411764705883,PENNY NEAL,271,17,0,59.83000000000001
3.5316666666666667,JAY ROBB,450,24,0,84.76
3.5354545454545447,GREGORY MAULDIN,335,22,0,77.77999999999999
3.5354545454545456,RITA GRAHAM,104,22,0,77.78
3.541724137931033,CYNTHIA YOUNG,28,29,1,102.70999999999997
3.55,PAULINE HENRY,133,25,0,88.75
3.5614285714285705,ANGEL BARCLAY,503,28,0,99.71999999999997
3.5614285714285723,IRENE PRICE,76,21,0,74.79000000000002
3.5733333333333324,IAN STILL,561,24,0,85.75999999999998
3.589999999999998,JEFF EAST,418,30,1,107.69999999999995
3.589999999999998,MAXINE SILVA,254,30,1,107.69999999999995
3.59,ANTHONY SCHWAB,320,20,0,71.8
3.5900000000000007,RAY HOULE,430,20,0,71.80000000000001
3.5971428571428556,MATTHEW MAHAN,323,28,1,100.71999999999996
3.5986956521739124,ALLISON STANLEY,228,23,0,82.76999999999998
