average_payment,first_name,large_payment_count,last_name,payment_count,total_amount
2.0900000000000003,MATTIE,0,HOFFMAN,10,20.900000000000002
2.1566666666666667,MABEL,0,HOLLAND,6,12.940000000000001
2.275714285714286,JANE,0,BENNETT,7,15.930000000000001
2.3649999999999998,ERNEST,0,STEPP,8,18.919999999999998
2.444545454545455,DEREK,0,BLAKELY,11,26.89
2.4515384615384614,JOANNE,0,ROBERTSON,13,31.87
2.5455555555555556,BOBBIE,0,CRAIG,9,22.91
2.5900000000000003,LARRY,0,THRASHER,5,12.950000000000001
2.615,EUGENE,0,CULPEPPER,8,20.92
2.69,FELIX,0,GAFFNEY,10,26.9
2.7042857142857146,BOBBY,0,BOUDREAU,14,37.86000000000001
2.717272727272727,LEONARD,0,SCHOFIELD,11,29.889999999999997
2.74,NORMAN,0,CURRIER,12,32.88
2.847142857142857,JO,0,FOWLER,7,19.93
2.847142857142857,SAMUEL,0,MARLOW,7,19.93
2.878888888888889,IRENE,0,PRICE,9,25.91
2.9899999999999993,MICHEAL,1,FORMAN,10,29.899999999999995
2.9899999999999998,ALBERTO,0,HENNING,8,23.919999999999998
2.9899999999999998,CORY,1,MEEHAN,9,26.909999999999997
2.9899999999999998,FELICIA,0,SUTTON,17,50.83
2.9899999999999998,KIMBERLY,0,LEE,9,26.909999999999997
2.9899999999999998,LAWRENCE,0,LAWTON,10,29.9
2.9899999999999998,SEAN,1,DOUGLASS,8,23.919999999999998
2.99,JENNIFER,0,DAVIS,9,26.91
2.99,MARTIN,0,BALES,9,26.91
2.9900000000000007,MEGAN,0,PALMER,10,29.900000000000006
2.9900000000000007,SUSAN,0,WILSON,12,35.88000000000001
3.0669230769230773,CHAD,0,CARBONE,13,39.870000000000005
3.0669230769230773,NANCY,0,THOMAS,13,39.870000000000005
3.073333333333333,CHRISTY,0,VARGAS,12,36.879999999999995
3.0900000000000007,DARRELL,0,POWER,10,30.900000000000006
3.101111111111111,PEARL,0,GARZA,9,27.91
3.10764705882353,DARLENE,0,ROSE,17,52.83000000000001
3.115,JUAN,0,FRALEY,8,24.92
3.132857142857143,MELVIN,0,ELLINGTON,7,21.93
3.1438461538461544,KATHLEEN,0,ADAMS,13,40.870000000000005
3.147894736842106,JUDITH,0,COX,19,59.81000000000002
3.1478947368421064,LOIS,0,BUTLER,19,59.810000000000024
3.1566666666666667,CAROLINE,0,BOWMAN,6,18.94
3.1566666666666667,EMMA,0,BOYD,6,18.94
3.171818181818182,IDA,0,ANDREWS,11,34.89
3.171818181818182,JAIME,0,NETTLES,11,34.89
3.1718181818181823,TRACEY,0,BARRETT,11,34.89000000000001
3.19,DUSTIN,0,GILLETTE,10,31.9
3.190000000000001,HAZEL,1,WARREN,15,47.850000000000016
3.2042857142857146,ESTHER,0,CRAWFORD,14,44.86000000000001
3.204285714285715,IVAN,0,CROMWELL,14,44.860000000000014
3.2122222222222216,ERIN,0,DUNN,9,28.909999999999997
3.2122222222222225,MARGARET,0,MOORE,9,28.910000000000004
3.2566666666666677,SALLY,0,PIERCE,15,48.850000000000016
3.2627272727272727,CHESTER,0,BENNER,11,35.89
3.2627272727272736,CRAIG,0,MORRELL,11,35.89000000000001
3.2757142857142854,SAMANTHA,1,DUNCAN,7,22.929999999999996
3.275714285714286,ARMANDO,0,GRUBER,7,22.93
3.275714285714286,TIFFANY,0,JORDAN,7,22.93
3.29,ERIKA,0,PENA,10,32.9
3.323333333333333,CARMEN,1,OWENS,9,29.909999999999997
3.323333333333333,DEAN,1,SAUER,9,29.909999999999997
3.3233333333333337,DEBORAH,1,WALKER,12,39.88
3.3233333333333337,EDGAR,0,RHOADS,15,49.85000000000001
3.3233333333333337,RENEE,1,LANE,12,39.88
3.323333333333334,EARL,0,SHANKS,12,39.88000000000001
3.3233333333333346,EVELYN,0,MORGAN,15,49.850000000000016
3.3233333333333346,ROSS,0,GREY,15,49.850000000000016
3.3471428571428574,HECTOR,0,POINDEXTER,14,46.86000000000001
3.3536363636363635,GEORGIA,1,JACOBS,11,36.89
3.3649999999999993,EDNA,0,WEST,8,26.919999999999995
3.3649999999999998,HOLLY,0,FOX,8,26.919999999999998
3.365,ANNE,0,POWELL,8,26.92
3.374615384615385,HILDA,0,HOPKINS,13,43.870000000000005
3.3899999999999997,JOAN,0,COOPER,5,16.95
3.3899999999999997,VICKI,0,FIELDS,5,16.95
3.3900000000000006,WENDY,0,HARRISON,15,50.85000000000001
3.4066666666666676,ANNIE,0,RUSSELL,12,40.88000000000001
3.4066666666666676,CLINTON,0,BUFORD,12,40.88000000000001
3.4185714285714286,IRMA,1,PEARSON,7,23.93
3.4185714285714286,LEO,0,EBERT,7,23.93
3.434444444444444,DARRYL,0,ASHCRAFT,9,30.909999999999997
3.434444444444445,PATRICK,0,NEWSOM,9,30.910000000000004
3.434444444444445,PENNY,0,NEAL,9,30.910000000000004
3.4445454545454552,CLARENCE,0,GAMEZ,11,37.89000000000001
3.4445454545454552,KIM,0,CRUZ,11,37.89000000000001
3.4566666666666674,GENE,0,SANBORN,15,51.85000000000001
3.4899999999999998,MARVIN,0,YEE,6,20.939999999999998
3.4899999999999998,SANDRA,0,MARTIN,10,34.9
3.4899999999999998,WAYNE,0,TRUONG,8,27.919999999999998
3.49,EVERETT,0,BANDA,12,41.88
3.49,LEONA,0,OBRIEN,8,27.92
3.49,MILDRED,0,BAILEY,8,27.92
3.4900000000000007,LANCE,0,PEMBERTON,8,27.920000000000005
3.4900000000000007,MARCUS,0,HIDALGO,8,27.920000000000005
3.4900000000000007,SCOTT,0,SHELLEY,12,41.88000000000001
3.490000000000001,ROSEMARY,0,SCHMIDT,14,48.860000000000014
3.5233333333333343,ELSIE,0,KELLEY,15,52.850000000000016
3.528461538461539,TOM,0,MILNER,13,45.870000000000005
3.5284615384615394,LYDIA,0,BURKE,13,45.87000000000001
3.5284615384615394,VERONICA,1,STONE,13,45.87000000000001
3.535454545454546,REGINALD,0,KINDER,11,38.89000000000001
3.5400000000000005,TAMMY,1,SANDERS,20,70.80000000000001
3.545555555555555,MICHELLE,0,CLARK,9,31.909999999999997
3.5455555555555556,LLOYD,0,DOWD,9,31.91
3.5455555555555556,LOUISE,0,JENKINS,9,31.91
3.5455555555555556,ROLAND,0,SOUTH,9,31.91
3.545555555555556,JOSEPHINE,1,GOMEZ,9,31.910000000000004
3.545555555555557,CLYDE,0,TOBIAS,18,63.82000000000002
3.561428571428571,DAVE,0,GARDINER,7,24.929999999999996
3.5614285714285714,JOHNNY,0,TURPIN,7,24.93
3.5614285714285714,RONNIE,0,RICKETTS,7,24.93
3.5614285714285723,DONALD,0,MAHON,7,24.930000000000007
3.5689473684210533,JUSTIN,1,NGO,19,67.81000000000002
3.573333333333334,KEITH,1,RICO,12,42.88000000000001
3.5900000000000007,HEIDI,0,LARSON,15,53.85000000000001
3.5900000000000007,JOEL,0,FRANCISCO,5,17.950000000000003
3.5900000000000007,LAURIE,0,LAWRENCE,10,35.900000000000006
3.5900000000000007,RICARDO,0,MEADOR,5,17.950000000000003
