customer_id,first_name,last_name,payment_count,total_amount,average_amount,cross_store_operations,needs_review
148,ELEANOR,HUNT,22,100.77999999999997,4.580909090909089,7,1
470,GORDON,ALLARD,17,96.82999999999998,5.695882352941176,4,1
522,ARNOLD,HAVENS,18,96.82,5.378888888888889,7,1
137,RHONDA,KENNEDY,19,96.80999999999999,5.0952631578947365,11,1
144,CLARA,SHAW,18,93.81999999999998,5.212222222222221,12,1
459,TOMMY,COLLAZO,18,89.81999999999998,4.989999999999998,6,1
257,MARSHA,DOUGLAS,18,88.82,4.934444444444444,8,1
295,DAISY,BATES,18,87.82000000000001,4.8788888888888895,10,1
526,KARL,SEAL,19,86.81,4.568947368421052,8,1
595,TERRENCE,GUNDERSON,19,86.80999999999999,4.568947368421052,7,1
178,MARION,SNYDER,18,85.82,4.767777777777777,10,1
102,CRYSTAL,FORD,21,84.78999999999999,4.037619047619048,12,1
346,ARTHUR,SIMPKINS,15,83.85,5.59,10,1
209,TONYA,CHAPMAN,17,82.83,4.87235294117647,8,1
366,BRANDON,HUEY,19,82.80999999999999,4.358421052631578,10,1
50,DIANE,COLLINS,17,80.83,4.754705882352941,10,1
225,ARLENE,HARVEY,17,80.83,4.754705882352941,8,1
494,RAMON,CHOATE,18,80.82000000000001,4.49,5,1
469,WESLEY,BULL,18,80.82,4.489999999999999,7,1
479,ZACHARY,HITE,15,79.85,5.323333333333333,7,1
92,TINA,SIMMONS,15,78.85000000000001,5.256666666666667,8,1
332,STEPHEN,QUALLS,17,78.82999999999998,4.637058823529411,9,1
484,ROBERTO,VU,15,77.85000000000001,5.19,10,1
372,STEVE,MACKENZIE,16,77.84000000000002,4.865000000000001,10,1
309,CHRISTOPHER,GRECO,16,76.83999999999999,4.802499999999999,8,1
286,VELMA,LUCAS,17,76.83000000000001,4.519411764705883,8,1
2,PATRICIA,JOHNSON,14,75.86,5.418571428571428,8,1
591,KENT,ARSENAULT,15,75.85000000000001,5.0566666666666675,5,1
508,MILTON,HOWLAND,14,74.86,5.347142857142857,3,1
292,MISTY,LAMBERT,16,74.84,4.6775,10,1
462,WARREN,SHERROD,16,74.83999999999999,4.677499999999999,12,1
39,DEBRA,NELSON,15,73.85000000000001,4.923333333333334,8,1
502,BRETT,CORNWELL,15,73.85000000000001,4.923333333333334,9,1
