average_payment,customer_first_name,customer_last_name,high_attention_flag,payment_count,total_amount
2.0900000000000003,MATTIE,HOFFMAN,0,10,20.900000000000002
2.1566666666666667,MABEL,HOLLAND,0,6,12.940000000000001
2.275714285714286,JANE,BENNETT,0,7,15.930000000000001
2.3649999999999998,ERNEST,STEPP,0,8,18.919999999999998
2.444545454545455,DEREK,BLAKELY,0,11,26.89
2.4515384615384614,JOANNE,ROBERTSON,0,13,31.87
2.5455555555555556,BOBBIE,CRAIG,0,9,22.91
2.5900000000000003,LARRY,THRASHER,0,5,12.950000000000001
2.615,EUGENE,CULPEPPER,0,8,20.92
2.69,FELIX,GAFFNEY,0,10,26.9
2.7042857142857146,BOBBY,BOUDREAU,0,14,37.86000000000001
2.717272727272727,LEONARD,SCHOFIELD,0,11,29.889999999999997
2.74,NORMAN,CURRIER,0,12,32.88
2.847142857142857,JO,FOWLER,0,7,19.93
2.847142857142857,SAMUEL,MARLOW,0,7,19.93
2.878888888888889,IRENE,PRICE,0,9,25.91
2.9899999999999993,MICHEAL,FORMAN,0,10,29.899999999999995
2.9899999999999998,ALBERTO,HENNING,0,8,23.919999999999998
2.9899999999999998,CORY,MEEHAN,0,9,26.909999999999997
2.9899999999999998,FELICIA,SUTTON,1,17,50.83
2.9899999999999998,KIMBERLY,LEE,0,9,26.909999999999997
2.9899999999999998,LAWRENCE,LAWTON,0,10,29.9
2.9899999999999998,SEAN,DOUGLASS,0,8,23.919999999999998
2.99,JENNIFER,DAVIS,0,9,26.91
2.99,MARTIN,BALES,0,9,26.91
2.9900000000000007,MEGAN,PALMER,0,10,29.900000000000006
2.9900000000000007,SUSAN,WILSON,0,12,35.88000000000001
3.0669230769230773,CHAD,CARBONE,0,13,39.870000000000005
3.0669230769230773,NANCY,THOMAS,0,13,39.870000000000005
3.073333333333333,CHRISTY,VARGAS,0,12,36.879999999999995
3.0900000000000007,DARRELL,POWER,0,10,30.900000000000006
3.101111111111111,PEARL,GARZA,0,9,27.91
3.10764705882353,DARLENE,ROSE,1,17,52.83000000000001
3.115,JUAN,FRALEY,0,8,24.92
3.132857142857143,MELVIN,ELLINGTON,0,7,21.93
3.1438461538461544,KATHLEEN,ADAMS,0,13,40.870000000000005
3.147894736842106,JUDITH,COX,1,19,59.81000000000002
3.1478947368421064,LOIS,BUTLER,1,19,59.810000000000024
3.1566666666666667,CAROLINE,BOWMAN,0,6,18.94
3.1566666666666667,EMMA,BOYD,0,6,18.94
3.171818181818182,IDA,ANDREWS,0,11,34.89
3.171818181818182,JAIME,NETTLES,0,11,34.89
3.1718181818181823,TRACEY,BARRETT,0,11,34.89000000000001
3.19,DUSTIN,GILLETTE,0,10,31.9
3.190000000000001,HAZEL,WARREN,0,15,47.850000000000016
3.2042857142857146,ESTHER,CRAWFORD,0,14,44.86000000000001
3.204285714285715,IVAN,CROMWELL,0,14,44.860000000000014
3.2122222222222216,ERIN,DUNN,0,9,28.909999999999997
3.2122222222222225,MARGARET,MOORE,0,9,28.910000000000004
3.2566666666666677,SALLY,PIERCE,0,15,48.850000000000016
3.2627272727272727,CHESTER,BENNER,0,11,35.89
3.2627272727272736,CRAIG,MORRELL,0,11,35.89000000000001
3.2757142857142854,SAMANTHA,DUNCAN,0,7,22.929999999999996
3.275714285714286,ARMANDO,GRUBER,0,7,22.93
3.275714285714286,TIFFANY,JORDAN,0,7,22.93
3.29,ERIKA,PENA,0,10,32.9
3.323333333333333,CARMEN,OWENS,0,9,29.909999999999997
3.323333333333333,DEAN,SAUER,0,9,29.909999999999997
3.3233333333333337,DEBORAH,WALKER,0,12,39.88
3.3233333333333337,EDGAR,RHOADS,0,15,49.85000000000001
3.3233333333333337,RENEE,LANE,0,12,39.88
3.323333333333334,EARL,SHANKS,0,12,39.88000000000001
3.3233333333333346,EVELYN,MORGAN,0,15,49.850000000000016
3.3233333333333346,ROSS,GREY,0,15,49.850000000000016
3.3471428571428574,HECTOR,POINDEXTER,0,14,46.86000000000001
3.3536363636363635,GEORGIA,JACOBS,0,11,36.89
3.3649999999999993,EDNA,WEST,0,8,26.919999999999995
3.3649999999999998,HOLLY,FOX,0,8,26.919999999999998
3.365,ANNE,POWELL,0,8,26.92
3.374615384615385,HILDA,HOPKINS,0,13,43.870000000000005
3.3899999999999997,JOAN,COOPER,0,5,16.95
3.3899999999999997,VICKI,FIELDS,0,5,16.95
3.3900000000000006,WENDY,HARRISON,1,15,50.85000000000001
3.4066666666666676,ANNIE,RUSSELL,0,12,40.88000000000001
3.4066666666666676,CLINTON,BUFORD,0,12,40.88000000000001
3.4185714285714286,IRMA,PEARSON,0,7,23.93
3.4185714285714286,LEO,EBERT,0,7,23.93
3.434444444444444,DARRYL,ASHCRAFT,0,9,30.909999999999997
3.434444444444445,PATRICK,NEWSOM,0,9,30.910000000000004
3.434444444444445,PENNY,NEAL,0,9,30.910000000000004
3.4445454545454552,CLARENCE,GAMEZ,0,11,37.89000000000001
3.4445454545454552,KIM,CRUZ,0,11,37.89000000000001
3.4566666666666674,GENE,SANBORN,1,15,51.85000000000001
3.4899999999999998,MARVIN,YEE,0,6,20.939999999999998
3.4899999999999998,SANDRA,MARTIN,0,10,34.9
3.4899999999999998,WAYNE,TRUONG,0,8,27.919999999999998
3.49,EVERETT,BANDA,0,12,41.88
3.49,LEONA,OBRIEN,0,8,27.92
3.49,MILDRED,BAILEY,0,8,27.92
3.4900000000000007,LANCE,PEMBERTON,0,8,27.920000000000005
3.4900000000000007,MARCUS,HIDALGO,0,8,27.920000000000005
3.4900000000000007,SCOTT,SHELLEY,0,12,41.88000000000001
3.490000000000001,ROSEMARY,SCHMIDT,0,14,48.860000000000014
3.5233333333333343,ELSIE,KELLEY,1,15,52.850000000000016
3.528461538461539,TOM,MILNER,0,13,45.870000000000005
3.5284615384615394,LYDIA,BURKE,0,13,45.87000000000001
3.5284615384615394,VERONICA,STONE,0,13,45.87000000000001
3.535454545454546,REGINALD,KINDER,0,11,38.89000000000001
3.5400000000000005,TAMMY,SANDERS,1,20,70.80000000000001
3.545555555555555,MICHELLE,CLARK,0,9,31.909999999999997
3.5455555555555556,LLOYD,DOWD,0,9,31.91
3.5455555555555556,LOUISE,JENKINS,0,9,31.91
3.5455555555555556,ROLAND,SOUTH,0,9,31.91
3.545555555555556,JOSEPHINE,GOMEZ,0,9,31.910000000000004
3.545555555555557,CLYDE,TOBIAS,1,18,63.82000000000002
3.561428571428571,DAVE,GARDINER,0,7,24.929999999999996
3.5614285714285714,JOHNNY,TURPIN,0,7,24.93
3.5614285714285714,RONNIE,RICKETTS,0,7,24.93
3.5614285714285723,DONALD,MAHON,0,7,24.930000000000007
3.5689473684210533,JUSTIN,NGO,1,19,67.81000000000002
3.573333333333334,KEITH,RICO,0,12,42.88000000000001
3.5900000000000007,HEIDI,LARSON,1,15,53.85000000000001
3.5900000000000007,JOEL,FRANCISCO,0,5,17.950000000000003
3.5900000000000007,LAURIE,LAWRENCE,0,10,35.900000000000006
3.5900000000000007,RICARDO,MEADOR,0,5,17.950000000000003
3.605384615384616,LUCY,WHEELER,0,13,46.87000000000001
3.605384615384617,JESSICA,HALL,0,13,46.87000000000002
3.615,CLAYTON,BARBEE,0,8,28.92
3.626363636363638,ANTHONY,SCHWAB,0,11,39.890000000000015
3.626363636363638,JACOB,LANCE,0,11,39.890000000000015
3.6566666666666667,PHYLLIS,FOSTER,0,6,21.94
