customer_id,first_name,last_name,active_status,payment_count,total_amount,avg_payment,large_payment_count
454,ALEX,GRESHAM,1,10,52.90000000000001,5.290000000000001,4
178,MARION,SNYDER,1,8,44.92,5.615,4
176,JUNE,CARROLL,1,8,42.92000000000001,5.365000000000001,4
26,JESSICA,HALL,1,7,41.93000000000001,5.990000000000001,3
526,KARL,SEAL,1,9,41.91000000000001,4.656666666666668,3
322,JASON,MORRISSEY,1,7,40.93,5.847142857142857,4
550,GUY,BROWNLEE,1,6,39.940000000000005,6.656666666666667,3
267,MARGIE,WADE,1,9,38.91000000000001,4.323333333333334,2
289,VIOLET,RODRIQUEZ,1,6,37.940000000000005,6.323333333333334,4
341,PETER,MENARD,1,7,37.93000000000001,5.41857142857143,4
236,MARCIA,DEAN,1,8,37.92000000000001,4.740000000000001,3
234,CLAUDIA,FULLER,1,8,36.92000000000001,4.615000000000001,3
193,KATIE,ELLIOTT,1,6,35.940000000000005,5.990000000000001,3
403,MIKE,WAY,1,6,35.940000000000005,5.990000000000001,3
431,JOEL,FRANCISCO,1,7,35.93000000000001,5.1328571428571435,2
293,MAE,FLETCHER,1,7,35.93,5.132857142857143,2
316,STEVEN,CURLEY,1,7,35.93,5.132857142857143,1
340,PATRICK,NEWSOM,1,8,35.92000000000001,4.490000000000001,3
213,GINA,WILLIAMSON,1,9,35.91000000000001,3.990000000000001,2
31,BRENDA,WRIGHT,1,11,35.89000000000001,3.2627272727272736,2
384,ERNEST,STEPP,1,7,34.93000000000001,4.990000000000001,3
338,DENNIS,GILMAN,1,7,34.93,4.99,3
260,CHRISTY,VARGAS,1,8,34.92,4.365,2
25,DEBORAH,WALKER,1,6,33.940000000000005,5.656666666666667,2
576,MORRIS,MCCARTER,1,7,33.93000000000001,4.847142857142858,2
510,BEN,EASTER,0,8,33.92,4.24,4
561,IAN,STILL,1,9,33.910000000000004,3.7677777777777783,1
571,JOHNNIE,CHISHOLM,1,6,32.940000000000005,5.490000000000001,1
46,CATHERINE,CAMPBELL,1,7,32.93000000000001,4.7042857142857155,1
149,VALERIE,BLACK,1,7,32.93000000000001,4.7042857142857155,3
171,DOLORES,WAGNER,1,7,32.93000000000001,4.7042857142857155,3
570,IVAN,CROMWELL,1,7,32.93000000000001,4.7042857142857155,2
295,DAISY,BATES,1,9,32.91,3.6566666666666663,2
21,MICHELLE,CLARK,1,5,31.950000000000003,6.390000000000001,2
347,RYAN,SALISBURY,1,5,31.950000000000003,6.390000000000001,3
204,ROSEMARY,SCHMIDT,1,6,31.940000000000005,5.323333333333334,2
