customer_id,first_name,last_name,country,city,month,monthly_payment_sum,payment_count,deviation_from_previous_average,staff_count,store_count,country_month_rank
322,JASON,MORRISSEY,Argentina,Baha Blanca,2005-06,40.93,7,34.95,2,2,1
89,JULIA,FLORES,Argentina,La Plata,2005-06,30.95,5,20.98,2,2,2
405,LEONARD,SCHOFIELD,Argentina,Tandil,2005-06,26.94,6,18.96,2,2,3
144,CLARA,SHAW,Belarus,Molodetno,2005-06,22.94,6,16.96,2,2,1
431,JOEL,FRANCISCO,Bolivia,Sucre,2005-06,35.93,7,32.94,2,2,1
310,DANIEL,CABRAL,Brazil,Ibirit,2005-06,27.94,6,26.95,2,2,2
130,CHARLOTTE,HUNTER,Brazil,guas Lindas de Gois,2005-06,21.94,6,15.96,2,2,6
216,NATALIE,MEYER,Brazil,Aparecida de Goinia,2005-06,15.95,5,10.96,2,2,12
516,ELMER,NOE,Cambodia,Battambang,2005-06,22.94,6,16.96,2,2,1
352,ALBERT,CROUSE,Cameroon,Bamenda,2005-06,20.95,5,17.96,2,2,1
550,GUY,BROWNLEE,China,Zhoushan,2005-06,39.94,6,31.95,2,2,1
260,CHRISTY,VARGAS,China,Datong,2005-06,34.92,8,25.93,2,2,4
466,LEO,EBERT,China,Dongying,2005-06,28.95,5,25.96,2,2,7
339,WALTER,PERRYMAN,China,Xinxiang,2005-06,25.95,5,19.96,2,2,8
588,MARION,OCAMPO,China,Weifang,2005-06,24.95,5,16.97,2,2,9
120,SYLVIA,ORTIZ,Colombia,Dos Quebradas,2005-06,29.94,6,20.96,2,2,1
87,WANDA,PATTERSON,Colombia,Sincelejo,2005-06,25.95,5,17.97,2,2,2
491,RICK,MATTOX,Egypt,Mit Ghamr,2005-06,31.93,7,27.95,2,2,1
448,MIGUEL,BETANCOURT,Germany,Erlangen,2005-06,24.95,5,16.97,2,2,3
3,LINDA,WILLIAMS,Greece,Athenai,2005-06,25.96,4,20.98,2,2,1
403,MIKE,WAY,India,Valparai,2005-06,35.94,6,31.96,2,2,1
287,BECKY,MILES,India,Tambaram,2005-06,27.96,4,20.99,2,2,4
186,HOLLY,FOX,India,Haldia,2005-06,25.94,6,22.96,2,2,8
297,SHERRI,RHODES,India,Ahmadnagar,2005-06,23.95,5,18.97,2,2,11
492,LESTER,KRAUS,India,Kanchrapara,2005-06,21.96,4,18.97,2,2,13
554,DWAYNE,OLVERA,India,Rajkot,2005-06,21.96,4,15.98,2,2,13
358,SAMUEL,MARLOW,India,Ranchi,2005-06,18.94,6,13.95,2,2,17
123,SHANNON,FREEMAN,India,Varanasi (Benares),2005-06,14.95,5,11.96,2,2,24
450,JAY,ROBB,Indonesia,Surakarta,2005-06,22.93,7,18.94,2,2,4
328,JEFFREY,SPEAR,Indonesia,Ciparay,2005-06,21.95,5,18.96,2,2,5
116,VICTORIA,GIBSON,Indonesia,Pemalang,2005-06,20.94,6,15.95,2,2,6
459,TOMMY,COLLAZO,Iran,Qomsheh,2005-06,25.93,7,22.94,2,2,1
221,BESSIE,MORRISON,Italy,Syrakusa,2005-06,23.95,5,18.96,2,2,2
1,MARY,SMITH,Japan,Sasebo,2005-06,31.93,7,27.95,2,2,1
29,ANGELA,HERNANDEZ,Japan,Shimonoseki,2005-06,21.93,7,19.94,2,2,5
574,JULIAN,VEST,Japan,Akishima,2005-06,15.95,5,14.96,2,2,17
76,IRENE,PRICE,Kazakstan,Pavlodar,2005-06,12.94,6,9.96,2,2,2
193,KATIE,ELLIOTT,Kenya,Kisumu,2005-06,35.94,6,31.96,2,2,1
171,DOLORES,WAGNER,Malaysia,Ipoh,2005-06,32.93,7,22.94,2,2,1
454,ALEX,GRESHAM,Mexico,Uruapan,2005-06,52.9,10,44.91,2,2,1
570,IVAN,CROMWELL,Mexico,Monclova,2005-06,32.93,7,24.94,2,2,2
343,DOUGLAS,GRAF,Mexico,Mexicali,2005-06,30.93,7,22.95,2,2,4
108,TRACY,COLE,Mexico,Huixquilucan,2005-06,24.95,5,18.97,2,2,5
