customer_id,first_name,last_name,payment_count,total_amount,average_payment,risk_flag
1,MARY,SMITH,12,50.88000000000002,4.240000000000001,high
2,PATRICIA,JOHNSON,14,75.86,5.418571428571428,high
3,LINDA,WILLIAMS,13,68.87000000000002,5.2976923076923095,high
5,ELIZABETH,BROWN,16,59.84000000000002,3.740000000000001,high
7,MARIA,MILLER,11,59.890000000000015,5.444545454545456,high
8,SUSAN,WILSON,12,35.88000000000001,2.9900000000000007,normal
10,DOROTHY,TAYLOR,11,45.89000000000001,4.171818181818183,normal
11,LISA,ANDERSON,11,53.890000000000015,4.89909090909091,high
12,NANCY,THOMAS,13,39.870000000000005,3.0669230769230773,normal
13,KAREN,JACKSON,13,61.87000000000002,4.75923076923077,high
14,BETTY,WHITE,12,50.88000000000002,4.240000000000001,high
23,SARAH,LEWIS,13,60.87000000000001,4.682307692307694,high
25,DEBORAH,WALKER,12,39.88,3.3233333333333337,normal
26,JESSICA,HALL,13,46.87000000000002,3.605384615384617,normal
27,SHIRLEY,ALLEN,12,46.88,3.9066666666666667,normal
28,CYNTHIA,YOUNG,14,51.860000000000014,3.704285714285715,high
29,ANGELA,HERNANDEZ,11,46.89000000000001,4.262727272727274,normal
30,MELISSA,KING,19,73.80999999999999,3.8847368421052626,high
31,BRENDA,WRIGHT,11,48.890000000000015,4.444545454545456,normal
32,AMY,LOPEZ,15,58.850000000000016,3.9233333333333342,high
35,VIRGINIA,GREEN,16,68.84000000000002,4.302500000000001,high
36,KATHLEEN,ADAMS,13,40.870000000000005,3.1438461538461544,normal
38,MARTHA,GONZALEZ,18,65.82000000000002,3.656666666666668,high
39,DEBRA,NELSON,15,73.85000000000001,4.923333333333334,high
40,AMANDA,CARTER,11,40.89000000000001,3.717272727272728,normal
41,STEPHANIE,MITCHELL,15,70.85000000000002,4.7233333333333345,high
42,CAROLYN,PEREZ,16,61.84000000000001,3.8650000000000007,high
43,CHRISTINE,ROBERTS,12,47.88000000000001,3.9900000000000007,normal
44,MARIE,TURNER,10,53.90000000000001,5.3900000000000015,high
49,JOYCE,EDWARDS,13,69.87,5.374615384615385,high
50,DIANE,COLLINS,17,80.83,4.754705882352941,high
51,ALICE,STEWART,12,58.88000000000002,4.906666666666668,high
52,JULIE,SANCHEZ,12,48.88000000000001,4.073333333333334,normal
57,EVELYN,MORGAN,15,49.850000000000016,3.3233333333333346,normal
59,CHERYL,MURPHY,11,60.890000000000015,5.535454545454547,high
63,ASHLEY,RICHARDSON,14,64.86000000000001,4.6328571428571435,high
64,JUDITH,COX,19,59.81000000000002,3.147894736842106,high
66,JANICE,WARD,13,60.87000000000001,4.682307692307694,high
69,JUDY,GRAY,11,47.890000000000015,4.353636363636365,normal
71,KATHY,JAMES,18,70.82000000000001,3.934444444444445,high
75,TAMMY,SANDERS,20,70.80000000000001,3.5400000000000005,high
78,LORI,WOOD,14,52.86,3.775714285714286,high
79,RACHEL,BARNES,13,53.87000000000002,4.143846153846155,high
80,MARILYN,ROSS,12,61.88000000000002,5.156666666666668,high
82,KATHRYN,COLEMAN,11,64.89000000000001,5.89909090909091,high
84,SARA,PERRY,12,64.88000000000001,5.406666666666667,high
86,JACQUELINE,LONG,12,64.88000000000001,5.406666666666667,high
87,WANDA,PATTERSON,11,56.890000000000015,5.171818181818183,high
88,BONNIE,HUGHES,11,44.89000000000001,4.080909090909092,normal
89,JULIA,FLORES,17,68.83000000000003,4.0488235294117665,high
90,RUBY,WASHINGTON,12,51.88000000000001,4.323333333333334,high
91,LOIS,BUTLER,19,59.810000000000024,3.1478947368421064,high
92,TINA,SIMMONS,15,78.85000000000001,5.256666666666667,high
96,DIANA,ALEXANDER,12,49.88000000000002,4.156666666666668,normal
97,ANNIE,RUSSELL,12,40.88000000000001,3.4066666666666676,normal
99,EMILY,DIAZ,15,56.85000000000002,3.7900000000000014,high
100,ROBIN,HAYES,13,69.87,5.374615384615385,high
101,PEGGY,MYERS,12,53.88000000000002,4.490000000000001,high
102,CRYSTAL,FORD,21,84.78999999999999,4.037619047619048,high
103,GLADYS,HAMILTON,15,68.85000000000001,4.590000000000001,high
107,FLORENCE,WOODS,14,61.860000000000014,4.41857142857143,high
108,TRACY,COLE,13,51.870000000000005,3.99,high
112,ROSA,REYNOLDS,11,50.890000000000015,4.626363636363638,high
113,CINDY,FISHER,11,43.89000000000001,3.9900000000000007,normal
114,GRACE,ELLIS,15,61.850000000000016,4.123333333333334,high
115,WENDY,HARRISON,15,50.85000000000001,3.3900000000000006,high
118,KIM,CRUZ,11,37.89000000000001,3.4445454545454552,normal
120,SYLVIA,ORTIZ,13,48.87,3.759230769230769,normal
122,THELMA,MURRAY,15,61.85000000000001,4.123333333333334,high
125,ETHEL,WEBB,16,65.84000000000002,4.115000000000001,high
126,ELLEN,SIMPSON,13,48.87,3.759230769230769,normal
128,MARJORIE,TUCKER,16,65.84000000000002,4.115000000000001,high
129,CARRIE,PORTER,15,55.850000000000016,3.7233333333333345,high
131,MONICA,HICKS,12,49.88000000000001,4.156666666666667,normal
132,ESTHER,CRAWFORD,14,44.86000000000001,3.2042857142857146,normal
133,PAULINE,HENRY,13,47.87000000000002,3.6823076923076936,normal
135,JUANITA,MASON,14,57.860000000000014,4.1328571428571435,high
137,RHONDA,KENNEDY,19,96.80999999999999,5.0952631578947365,high
138,HAZEL,WARREN,15,47.850000000000016,3.190000000000001,normal
139,AMBER,DIXON,12,51.88000000000002,4.323333333333335,high
141,DEBBIE,REYES,11,41.89000000000001,3.808181818181819,normal
144,CLARA,SHAW,18,93.81999999999998,5.212222222222221,high
145,LUCILLE,HOLMES,15,55.85000000000002,3.723333333333335,high
147,JOANNE,ROBERTSON,13,31.87,2.4515384615384614,normal
148,ELEANOR,HUNT,22,100.77999999999997,4.580909090909089,high
149,VALERIE,BLACK,11,54.890000000000015,4.990000000000001,high
154,MICHELE,GRANT,14,55.86000000000001,3.9900000000000007,high
157,DARLENE,ROSE,17,52.83000000000001,3.10764705882353,high
158,VERONICA,STONE,13,45.87000000000001,3.5284615384615394,normal
163,CATHY,SPENCER,11,40.88999999999999,3.717272727272727,normal
165,LORRAINE,STEPHENS,12,49.88000000000002,4.156666666666668,normal
166,LYNN,PAYNE,13,56.87000000000002,4.374615384615386,high
167,SALLY,PIERCE,15,48.850000000000016,3.2566666666666677,normal
168,REGINA,BERRY,17,70.83,4.166470588235294,high
170,BEATRICE,ARNOLD,12,56.88000000000001,4.740000000000001,high
172,BERNICE,WILLIS,14,70.86,5.061428571428571,high
173,AUDREY,RAY,14,57.86000000000002,4.132857142857144,high
175,ANNETTE,OLSON,11,46.89000000000001,4.262727272727274,normal
176,JUNE,CARROLL,12,55.88000000000002,4.656666666666668,high
178,MARION,SNYDER,18,85.82,4.767777777777777,high
179,DANA,HART,14,68.86000000000001,4.91857142857143,high
181,ANA,BRADLEY,12,72.88,6.073333333333333,high
