average_payment,customer_id,first_name,high_risk,last_name,payment_count,total_amount
2.0900000000000003,252,MATTIE,0,HOFFMAN,10,20.900000000000002
2.1566666666666667,256,MABEL,0,HOLLAND,6,12.940000000000001
2.275714285714286,77,JANE,0,BENNETT,7,15.930000000000001
2.3649999999999998,384,ERNEST,0,STEPP,8,18.919999999999998
2.444545454545455,461,DEREK,0,BLAKELY,11,26.89
2.4515384615384614,147,JOANNE,0,ROBERTSON,13,31.87
2.5455555555555556,288,BOBBIE,0,CRAIG,9,22.91
2.5900000000000003,327,LARRY,0,THRASHER,5,12.950000000000001
2.615,378,EUGENE,0,CULPEPPER,8,20.92
2.69,557,FELIX,0,GAFFNEY,10,26.9
2.7042857142857146,381,BOBBY,0,BOUDREAU,14,37.86000000000001
2.717272727272727,405,LEONARD,0,SCHOFIELD,11,29.889999999999997
2.74,411,NORMAN,0,CURRIER,12,32.88
2.847142857142857,250,JO,0,FOWLER,7,19.93
2.847142857142857,358,SAMUEL,0,MARLOW,7,19.93
2.878888888888889,76,IRENE,0,PRICE,9,25.91
2.9899999999999993,445,MICHEAL,0,FORMAN,10,29.899999999999995
2.9899999999999998,24,KIMBERLY,0,LEE,9,26.909999999999997
2.9899999999999998,283,FELICIA,0,SUTTON,17,50.83
2.9899999999999998,361,LAWRENCE,0,LAWTON,10,29.9
2.9899999999999998,392,SEAN,0,DOUGLASS,8,23.919999999999998
2.9899999999999998,527,CORY,0,MEEHAN,9,26.909999999999997
2.9899999999999998,568,ALBERTO,0,HENNING,8,23.919999999999998
2.99,383,MARTIN,0,BALES,9,26.91
2.99,6,JENNIFER,0,DAVIS,9,26.91
2.9900000000000007,151,MEGAN,0,PALMER,10,29.900000000000006
2.9900000000000007,8,SUSAN,0,WILSON,12,35.88000000000001
3.0669230769230773,12,NANCY,0,THOMAS,13,39.870000000000005
3.0669230769230773,419,CHAD,0,CARBONE,13,39.870000000000005
3.073333333333333,260,CHRISTY,0,VARGAS,12,36.879999999999995
3.0900000000000007,463,DARRELL,0,POWER,10,30.900000000000006
3.101111111111111,224,PEARL,0,GARZA,9,27.91
3.10764705882353,157,DARLENE,0,ROSE,17,52.83000000000001
3.115,350,JUAN,0,FRALEY,8,24.92
3.132857142857143,422,MELVIN,0,ELLINGTON,7,21.93
3.1438461538461544,36,KATHLEEN,0,ADAMS,13,40.870000000000005
3.147894736842106,64,JUDITH,0,COX,19,59.81000000000002
3.1478947368421064,91,LOIS,0,BUTLER,19,59.810000000000024
3.1566666666666667,134,EMMA,0,BOYD,6,18.94
3.1566666666666667,248,CAROLINE,0,BOWMAN,6,18.94
3.171818181818182,183,IDA,0,ANDREWS,11,34.89
3.171818181818182,565,JAIME,0,NETTLES,11,34.89
3.1718181818181823,280,TRACEY,0,BARRETT,11,34.89000000000001
3.19,474,DUSTIN,0,GILLETTE,10,31.9
3.190000000000001,138,HAZEL,0,WARREN,15,47.850000000000016
3.2042857142857146,132,ESTHER,0,CRAWFORD,14,44.86000000000001
3.204285714285715,570,IVAN,0,CROMWELL,14,44.860000000000014
3.2122222222222216,160,ERIN,0,DUNN,9,28.909999999999997
3.2122222222222225,9,MARGARET,0,MOORE,9,28.910000000000004
3.2566666666666677,167,SALLY,0,PIERCE,15,48.850000000000016
3.2627272727272727,511,CHESTER,0,BENNER,11,35.89
3.2627272727272736,388,CRAIG,0,MORRELL,11,35.89000000000001
3.2757142857142854,177,SAMANTHA,0,DUNCAN,7,22.929999999999996
3.275714285714286,110,TIFFANY,0,JORDAN,7,22.93
3.275714285714286,556,ARMANDO,0,GRUBER,7,22.93
3.29,298,ERIKA,0,PENA,10,32.9
3.323333333333333,111,CARMEN,0,OWENS,9,29.909999999999997
3.323333333333333,471,DEAN,0,SAUER,9,29.909999999999997
3.3233333333333337,182,RENEE,0,LANE,12,39.88
3.3233333333333337,25,DEBORAH,0,WALKER,12,39.88
3.3233333333333337,507,EDGAR,0,RHOADS,15,49.85000000000001
3.323333333333334,396,EARL,0,SHANKS,12,39.88000000000001
3.3233333333333346,57,EVELYN,0,MORGAN,15,49.850000000000016
3.3233333333333346,580,ROSS,0,GREY,15,49.850000000000016
3.3471428571428574,487,HECTOR,0,POINDEXTER,14,46.86000000000001
3.3536363636363635,231,GEORGIA,0,JACOBS,11,36.89
3.3649999999999993,109,EDNA,0,WEST,8,26.919999999999995
3.3649999999999998,186,HOLLY,0,FOX,8,26.919999999999998
3.365,85,ANNE,0,POWELL,8,26.92
3.374615384615385,263,HILDA,0,HOPKINS,13,43.870000000000005
3.3899999999999997,201,VICKI,0,FIELDS,5,16.95
3.3899999999999997,62,JOAN,0,COOPER,5,16.95
3.3900000000000006,115,WENDY,0,HARRISON,15,50.85000000000001
3.4066666666666676,537,CLINTON,0,BUFORD,12,40.88000000000001
3.4066666666666676,97,ANNIE,0,RUSSELL,12,40.88000000000001
3.4185714285714286,255,IRMA,0,PEARSON,7,23.93
3.4185714285714286,466,LEO,0,EBERT,7,23.93
3.434444444444444,530,DARRYL,0,ASHCRAFT,9,30.909999999999997
3.434444444444445,271,PENNY,0,NEAL,9,30.910000000000004
3.434444444444445,340,PATRICK,0,NEWSOM,9,30.910000000000004
3.4445454545454552,118,KIM,0,CRUZ,11,37.89000000000001
3.4445454545454552,391,CLARENCE,0,GAMEZ,11,37.89000000000001
3.4566666666666674,498,GENE,0,SANBORN,15,51.85000000000001
3.4899999999999998,16,SANDRA,0,MARTIN,10,34.9
3.4899999999999998,370,WAYNE,0,TRUONG,8,27.919999999999998
3.4899999999999998,413,MARVIN,0,YEE,6,20.939999999999998
3.49,281,LEONA,0,OBRIEN,8,27.92
3.49,559,EVERETT,0,BANDA,12,41.88
3.49,60,MILDRED,0,BAILEY,8,27.92
3.4900000000000007,330,SCOTT,0,SHELLEY,12,41.88000000000001
3.4900000000000007,444,MARCUS,0,HIDALGO,8,27.920000000000005
3.4900000000000007,543,LANCE,0,PEMBERTON,8,27.920000000000005
3.490000000000001,204,ROSEMARY,0,SCHMIDT,14,48.860000000000014
3.5233333333333343,198,ELSIE,0,KELLEY,15,52.850000000000016
3.528461538461539,452,TOM,0,MILNER,13,45.870000000000005
3.5284615384615394,158,VERONICA,0,STONE,13,45.87000000000001
