average_payment,customer_full_name,customer_id,high_risk,max_payment,payment_count,total_amount
2.0900000000000003,MATTIE HOFFMAN,252,0,5.99,10,20.900000000000002
2.1566666666666667,MABEL HOLLAND,256,0,3.99,6,12.940000000000001
2.275714285714286,JANE BENNETT,77,0,4.99,7,15.930000000000001
2.3649999999999998,ERNEST STEPP,384,0,4.99,8,18.919999999999998
2.444545454545455,DEREK BLAKELY,461,1,4.99,11,26.89
2.4515384615384614,JOANNE ROBERTSON,147,1,7.99,13,31.87
2.5455555555555556,BOBBIE CRAIG,288,0,3.99,9,22.91
2.5900000000000003,LARRY THRASHER,327,0,4.99,5,12.950000000000001
2.615,EUGENE CULPEPPER,378,0,4.99,8,20.92
2.6566666666666667,FLOYD GANDY,465,0,3.99,3,7.970000000000001
2.69,FELIX GAFFNEY,557,0,6.99,10,26.9
2.7042857142857146,BOBBY BOUDREAU,381,1,4.99,14,37.86000000000001
2.717272727272727,LEONARD SCHOFIELD,405,1,7.99,11,29.889999999999997
2.74,NORMAN CURRIER,411,1,5.99,12,32.88
2.847142857142857,JO FOWLER,250,0,4.99,7,19.93
2.847142857142857,SAMUEL MARLOW,358,0,5.99,7,19.93
2.878888888888889,IRENE PRICE,76,0,6.99,9,25.91
2.9899999999999993,MICHEAL FORMAN,445,0,8.99,10,29.899999999999995
2.9899999999999998,ALBERTO HENNING,568,0,6.99,8,23.919999999999998
2.9899999999999998,CORY MEEHAN,527,0,8.99,9,26.909999999999997
2.9899999999999998,FELICIA SUTTON,283,1,6.99,17,50.83
2.9899999999999998,KIMBERLY LEE,24,0,7.99,9,26.909999999999997
2.9899999999999998,LAWRENCE LAWTON,361,0,4.99,10,29.9
2.9899999999999998,SEAN DOUGLASS,392,0,9.99,8,23.919999999999998
2.99,JENNIFER DAVIS,6,0,7.99,9,26.91
2.99,MARTIN BALES,383,0,5.99,9,26.91
2.9900000000000007,MEGAN PALMER,151,0,4.99,10,29.900000000000006
2.9900000000000007,SUSAN WILSON,8,1,5.99,12,35.88000000000001
3.0669230769230773,CHAD CARBONE,419,1,5.99,13,39.870000000000005
3.0669230769230773,NANCY THOMAS,12,1,5.99,13,39.870000000000005
3.073333333333333,CHRISTY VARGAS,260,1,7.99,12,36.879999999999995
3.0900000000000007,DARRELL POWER,463,0,7.99,10,30.900000000000006
3.101111111111111,PEARL GARZA,224,0,4.99,9,27.91
3.10764705882353,DARLENE ROSE,157,1,5.99,17,52.83000000000001
3.115,JUAN FRALEY,350,0,5.99,8,24.92
3.132857142857143,MELVIN ELLINGTON,422,0,4.99,7,21.93
3.1438461538461544,KATHLEEN ADAMS,36,1,6.99,13,40.870000000000005
3.1478947368421064,LOIS BUTLER,91,1,4.99,19,59.810000000000024
3.1566666666666667,CAROLINE BOWMAN,248,0,5.99,6,18.94
3.1566666666666667,EMMA BOYD,134,0,4.99,6,18.94
3.171818181818182,IDA ANDREWS,183,1,5.99,11,34.89
3.171818181818182,JAIME NETTLES,565,1,5.99,11,34.89
3.1718181818181823,TRACEY BARRETT,280,1,7.99,11,34.89000000000001
3.19,DUSTIN GILLETTE,474,0,7.99,10,31.9
3.190000000000001,HAZEL WARREN,138,1,9.99,15,47.850000000000016
3.2042857142857146,ESTHER CRAWFORD,132,1,6.99,14,44.86000000000001
3.204285714285715,IVAN CROMWELL,570,1,7.99,14,44.860000000000014
3.2122222222222216,ERIN DUNN,160,0,6.99,9,28.909999999999997
3.2122222222222225,MARGARET MOORE,9,0,5.99,9,28.910000000000004
3.2566666666666677,SALLY PIERCE,167,1,4.99,15,48.850000000000016
3.2627272727272727,CHESTER BENNER,511,1,6.99,11,35.89
3.2627272727272736,CRAIG MORRELL,388,1,5.99,11,35.89000000000001
3.2757142857142854,SAMANTHA DUNCAN,177,0,9.99,7,22.929999999999996
3.275714285714286,ARMANDO GRUBER,556,0,5.99,7,22.93
3.275714285714286,TIFFANY JORDAN,110,0,4.99,7,22.93
3.29,ERIKA PENA,298,0,7.99,10,32.9
3.323333333333333,CARMEN OWENS,111,0,9.99,9,29.909999999999997
3.323333333333333,DEAN SAUER,471,0,8.99,9,29.909999999999997
3.3233333333333337,DEBORAH WALKER,25,1,8.99,12,39.88
3.3233333333333337,EDGAR RHOADS,507,1,6.99,15,49.85000000000001
3.3233333333333337,RENEE LANE,182,1,8.99,12,39.88
3.323333333333334,EARL SHANKS,396,1,6.99,12,39.88000000000001
3.3233333333333346,EVELYN MORGAN,57,1,5.99,15,49.850000000000016
3.3233333333333346,ROSS GREY,580,1,6.99,15,49.850000000000016
3.3471428571428574,HECTOR POINDEXTER,487,1,7.99,14,46.86000000000001
