customer_id,customer_first_name,customer_last_name,country_name,city_name,july_amount,july_count,prev_total_amount,prev_total_count,prev_avg_month_amount,prev_avg_month_count,foreign_store_operation_share,last_foreign_store_payment_date,july_amount_growth,july_count_growth,country_growth_rank
218,VERA,MCCOY,Afghanistan,Kabul,37.92000000000001,8,4.970000000000001,3,4.970000000000001,3.0,0.5,2005-07-31 14:24:33.000,32.95000000000001,5.0,1
441,MARIO,CHEATHAM,Algeria,Batna,66.83000000000001,17,14.97,3,7.485,1.5,0.5882352941176471,2005-07-31 22:02:20.000,59.34500000000001,15.5,1
69,JUDY,GRAY,Algeria,Bchar,47.890000000000015,11,14.96,4,7.48,2.0,0.45454545454545453,2005-07-31 03:58:31.000,40.41000000000001,9.0,2
528,CLAUDE,HERZOG,Angola,Benguela,56.89000000000001,11,25.930000000000003,7,12.965000000000002,3.5,0.5454545454545454,2005-07-30 23:42:42.000,43.925000000000004,7.5,1
381,BOBBY,BOUDREAU,Anguilla,South Hill,37.86000000000001,14,23.92,8,11.96,4.0,0.2857142857142857,2005-07-31 11:48:25.000,25.900000000000006,10.0,1
219,WILLIE,HOWELL,Argentina,Vicente Lpez,64.85000000000002,15,5.970000000000001,3,2.9850000000000003,1.5,0.3333333333333333,2005-07-31 08:13:11.000,61.86500000000002,13.5,1
585,PERRY,SWAFFORD,Argentina,Quilmes,70.87000000000002,13,13.96,4,13.96,4.0,0.6153846153846154,2005-07-30 20:25:24.000,56.91000000000002,9.0,2
331,ERIC,ROBERT,Argentina,Santa F,63.88000000000002,12,16.950000000000003,5,8.475000000000001,2.5,0.25,2005-07-30 04:53:11.000,55.405000000000015,9.5,3
560,JORDAN,ARCHULETA,Argentina,Avellaneda,59.860000000000014,14,9.97,3,4.985,1.5,0.42857142857142855,2005-07-31 14:07:56.000,54.875000000000014,12.5,4
89,JULIA,FLORES,Argentina,La Plata,68.83000000000003,17,40.919999999999995,8,20.459999999999997,4.0,0.6470588235294118,2005-07-31 23:17:57.000,48.37000000000003,13.0,5
107,FLORENCE,WOODS,Argentina,Merlo,61.860000000000014,14,36.91,9,18.455,4.5,0.7142857142857143,2005-07-30 18:28:30.000,43.405000000000015,9.5,6
243,LYDIA,BURKE,Argentina,San Miguel de Tucumn,45.87000000000001,13,17.96,4,8.98,2.0,0.6923076923076923,2005-07-31 17:22:36.000,36.890000000000015,11.0,7
530,DARRYL,ASHCRAFT,Argentina,Ezeiza,30.909999999999997,9,6.960000000000001,4,3.4800000000000004,2.0,0.4444444444444444,2005-07-31 14:51:19.000,27.429999999999996,7.0,8
359,WILLIE,MARKHAM,Argentina,Almirante Brown,39.91,9,28.93,7,14.465,3.5,0.4444444444444444,2005-07-31 14:12:03.000,25.444999999999997,5.5,9
445,MICHEAL,FORMAN,Argentina,Escobar,29.899999999999995,10,5.98,2,5.98,2.0,0.5,2005-07-31 04:30:48.000,23.919999999999995,8.0,10
41,STEPHANIE,MITCHELL,Armenia,Yerevan,70.85000000000002,15,12.98,2,12.98,2.0,0.4,2005-07-30 16:59:43.000,57.87000000000002,13.0,1
173,AUDREY,RAY,Austria,Graz,57.86000000000002,14,24.930000000000003,7,12.465000000000002,3.5,0.6428571428571429,2005-07-31 00:26:30.000,45.39500000000002,10.5,1
159,JILL,HAWKINS,Austria,Linz,38.9,10,11.940000000000001,6,5.970000000000001,3.0,0.7,2005-07-30 09:56:00.000,32.93,7.0,2
333,ANDREW,PURDY,Azerbaijan,Baku,51.870000000000005,13,19.950000000000003,5,9.975000000000001,2.5,0.23076923076923078,2005-07-31 19:24:55.000,41.895,10.5,1
334,RAYMOND,MCWHORTER,Azerbaijan,Sumqayit,53.89000000000001,11,26.950000000000003,5,13.475000000000001,2.5,0.5454545454545454,2005-07-31 05:04:08.000,40.415000000000006,8.5,2
590,SETH,HANNON,Bahrain,al-Manama,56.86000000000002,14,34.940000000000005,6,17.470000000000002,3.0,0.5714285714285714,2005-07-31 13:56:24.000,39.390000000000015,11.0,1
