metric,column,k,value
mrr,predicted_short,5,0.8518518518518519
map_at_k,predicted_short,5,0.8518518518518519
recall_at_k,predicted_short,5,1.0
mrr,predicted_business,5,0.8611111111111112
map_at_k,predicted_business,5,0.8611111111111112
recall_at_k,predicted_business,5,1.0
mrr,predicted_technical,5,0.9444444444444444
map_at_k,predicted_technical,5,0.9444444444444444
recall_at_k,predicted_technical,5,1.0
mrr,combined,5,0.8518518518518519
map_at_k,combined,5,0.8518518518518519
recall_at_k,combined,5,1.0
num_queries,all,5,18
